        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.001E-01  2.441E+00       1 A         2 A         1 A   
    1.2 eV    4.001E-01  2.532E+00       1 A         2 A         1 A   
    1.3 eV    4.164E-01  2.618E+00       1 A         2 A         1 A   
    1.4 eV    4.321E-01  2.699E+00       1 A         2 A         1 A   
    1.5 eV    4.473E-01  2.776E+00       2 A         2 A         1 A   
    1.6 eV    4.620E-01  2.849E+00       2 A         2 A         1 A   
    1.7 eV    4.762E-01  2.918E+00       2 A         2 A         1 A   
    1.8 eV    4.900E-01  2.985E+00       2 A         2 A         2 A   
      2 eV    5.165E-01  3.109E+00       2 A         2 A         2 A   
   2.25 eV    5.478E-01  3.250E+00       2 A         3 A         2 A   
2.49999 eV    5.775E-01  3.379E+00       2 A         3 A         2 A   
2.74999 eV    6.056E-01  3.497E+00       2 A         3 A         2 A   
2.99999 eV    6.326E-01  3.606E+00       3 A         3 A         2 A   
3.24999 eV    6.584E-01  3.708E+00       3 A         3 A         2 A   
3.49999 eV    6.833E-01  3.803E+00       3 A         4 A         3 A   
3.74999 eV    7.072E-01  3.891E+00       3 A         4 A         3 A   
3.99999 eV    7.304E-01  3.975E+00       3 A         4 A         3 A   
4.49999 eV    7.747E-01  4.128E+00       3 A         4 A         3 A   
4.99999 eV    8.166E-01  4.265E+00       4 A         4 A         3 A   
5.49999 eV    8.565E-01  4.390E+00       4 A         5 A         3 A   
5.99999 eV    8.946E-01  4.504E+00       4 A         5 A         4 A   
6.49999 eV    9.311E-01  4.608E+00       4 A         5 A         4 A   
6.99999 eV    9.663E-01  4.705E+00       4 A         6 A         4 A   
7.99999 eV    1.033E+00  4.877E+00       5 A         6 A         4 A   
8.99999 eV    1.096E+00  5.028E+00       5 A         7 A         5 A   
9.99999 eV    1.155E+00  5.160E+00       5 A         7 A         5 A   
10.9999 eV    1.211E+00  5.278E+00       6 A         8 A         5 A   
11.9999 eV    1.265E+00  5.384E+00       6 A         8 A         6 A   
