# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 4.001000000000000112e-01 2.440999999999999837e+00 1.000000000000000048e-04
1.199999999999999895e-03 4.001000000000000112e-01 2.532000000000000028e+00 1.000000000000000048e-04
1.300000000000000157e-03 4.163999999999999924e-01 2.617999999999999883e+00 1.000000000000000048e-04
1.399999999999999986e-03 4.320999999999999841e-01 2.698999999999999844e+00 1.000000000000000048e-04
1.500000000000000031e-03 4.472999999999999754e-01 2.775999999999999801e+00 2.000000000000000096e-04
1.600000000000000077e-03 4.620000000000000218e-01 2.849000000000000199e+00 2.000000000000000096e-04
1.699999999999999905e-03 4.762000000000000122e-01 2.918000000000000149e+00 2.000000000000000096e-04
1.800000000000000168e-03 4.899999999999999911e-01 2.984999999999999876e+00 2.000000000000000096e-04
2.000000000000000042e-03 5.164999999999999591e-01 3.108999999999999986e+00 2.000000000000000096e-04
2.250000000000000264e-03 5.477999999999999536e-01 3.250000000000000000e+00 2.000000000000000096e-04
2.499990000000000111e-03 5.775000000000000133e-01 3.379000000000000004e+00 2.000000000000000096e-04
2.749989999999999900e-03 6.056000000000000272e-01 3.496999999999999886e+00 2.000000000000000096e-04
2.999990000000000122e-03 6.326000000000000512e-01 3.605999999999999872e+00 3.000000000000000279e-04
3.249989999999999910e-03 6.583999999999999853e-01 3.708000000000000185e+00 3.000000000000000279e-04
3.499990000000000132e-03 6.833000000000000185e-01 3.802999999999999936e+00 3.000000000000000279e-04
3.749989999999999921e-03 7.072000000000000508e-01 3.891000000000000014e+00 3.000000000000000279e-04
3.999990000000000143e-03 7.304000000000000492e-01 3.975000000000000089e+00 3.000000000000000279e-04
4.499990000000000587e-03 7.747000000000000552e-01 4.128000000000000114e+00 3.000000000000000279e-04
4.999990000000000163e-03 8.165999999999999925e-01 4.264999999999999680e+00 4.000000000000000192e-04
5.499990000000000608e-03 8.565000000000000391e-01 4.389999999999999680e+00 4.000000000000000192e-04
5.999990000000000184e-03 8.945999999999999508e-01 4.503999999999999559e+00 4.000000000000000192e-04
6.499990000000000628e-03 9.311000000000000387e-01 4.607999999999999652e+00 4.000000000000000192e-04
6.999990000000000205e-03 9.663000000000000478e-01 4.705000000000000071e+00 4.000000000000000192e-04
7.999990000000000226e-03 1.032999999999999918e+00 4.876999999999999780e+00 5.000000000000000104e-04
8.999990000000001114e-03 1.096000000000000085e+00 5.027999999999999581e+00 5.000000000000000104e-04
9.999990000000000268e-03 1.155000000000000027e+00 5.160000000000000142e+00 5.000000000000000104e-04
1.099989999999999996e-02 1.211000000000000076e+00 5.277999999999999581e+00 6.000000000000000559e-04
1.199990000000000084e-02 1.264999999999999902e+00 5.384000000000000341e+00 6.000000000000000559e-04
1.299990000000000000e-02 1.316999999999999948e+00 5.479000000000000092e+00 6.000000000000000559e-04
1.399990000000000089e-02 1.366999999999999993e+00 5.565999999999999837e+00 6.999999999999999929e-04
1.499990000000000004e-02 1.413999999999999924e+00 5.644000000000000128e+00 6.999999999999999929e-04
1.599990000000000093e-02 1.461000000000000076e+00 5.716000000000000192e+00 6.999999999999999929e-04
1.699990000000000182e-02 1.506000000000000005e+00 5.782000000000000028e+00 8.000000000000000383e-04
1.799989999999999923e-02 1.548999999999999932e+00 5.842999999999999972e+00 8.000000000000000383e-04
1.999990000000000101e-02 1.633000000000000007e+00 5.950999999999999623e+00 9.000000000000000838e-04
2.249989999999999976e-02 1.731999999999999984e+00 6.065000000000000391e+00 9.000000000000000838e-04
2.499990000000000198e-02 1.826000000000000068e+00 6.160999999999999588e+00 1.000000000000000021e-03
2.749990000000000073e-02 1.915000000000000036e+00 6.240999999999999659e+00 1.100000000000000066e-03
2.999989999999999948e-02 2.000000000000000000e+00 6.309999999999999609e+00 1.200000000000000112e-03
3.249989999999999823e-02 2.081999999999999851e+00 6.368000000000000327e+00 1.200000000000000112e-03
3.499990000000000046e-02 2.161000000000000032e+00 6.416999999999999815e+00 1.300000000000000157e-03
3.749989999999999574e-02 2.236000000000000210e+00 6.459999999999999964e+00 1.399999999999999986e-03
3.999989999999999796e-02 2.310000000000000053e+00 6.496000000000000441e+00 1.399999999999999986e-03
4.499989999999999546e-02 2.450000000000000178e+00 6.552999999999999936e+00 1.600000000000000077e-03
4.999989999999999990e-02 2.581999999999999851e+00 6.594999999999999751e+00 1.700000000000000122e-03
5.499989999999999740e-02 2.709000000000000075e+00 6.623999999999999666e+00 1.800000000000000168e-03
5.999989999999999490e-02 2.829000000000000181e+00 6.642999999999999794e+00 2.000000000000000042e-03
6.499989999999999934e-02 2.943999999999999950e+00 6.653999999999999915e+00 2.100000000000000304e-03
6.999990000000000379e-02 3.056000000000000050e+00 6.658999999999999808e+00 2.200000000000000133e-03
