       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.598E-01  8.297E+00       2 A         1 A           A   
    1.2 eV    2.598E-01  8.778E+00       2 A         1 A         1 A   
    1.3 eV    2.704E-01  9.244E+00       2 A         1 A         1 A   
    1.4 eV    2.806E-01  9.695E+00       2 A         1 A         1 A   
    1.5 eV    2.905E-01  1.013E+01       2 A         1 A         1 A   
    1.6 eV    3.000E-01  1.056E+01       2 A         1 A         1 A   
    1.7 eV    3.092E-01  1.098E+01       2 A         1 A         1 A   
    1.8 eV    3.182E-01  1.138E+01       2 A         1 A         1 A   
      2 eV    3.354E-01  1.217E+01       2 A         1 A         1 A   
   2.25 eV    3.558E-01  1.311E+01       2 A         1 A         1 A   
2.49999 eV    3.750E-01  1.400E+01       3 A         1 A         1 A   
2.74999 eV    3.933E-01  1.486E+01       3 A         1 A         1 A   
2.99999 eV    4.108E-01  1.569E+01       3 A         1 A         1 A   
3.24999 eV    4.276E-01  1.648E+01       3 A         1 A         1 A   
3.49999 eV    4.437E-01  1.725E+01       3 A         2 A         1 A   
3.74999 eV    4.593E-01  1.800E+01       3 A         2 A         1 A   
3.99999 eV    4.743E-01  1.873E+01       3 A         2 A         1 A   
4.49999 eV    5.031E-01  2.012E+01       3 A         2 A         1 A   
4.99999 eV    5.303E-01  2.144E+01       3 A         2 A         1 A   
5.49999 eV    5.562E-01  2.271E+01       3 A         2 A         1 A   
5.99999 eV    5.810E-01  2.392E+01       4 A         2 A         2 A   
6.49999 eV    6.047E-01  2.509E+01       4 A         2 A         2 A   
6.99999 eV    6.275E-01  2.622E+01       4 A         2 A         2 A   
7.99999 eV    6.708E-01  2.836E+01       4 A         2 A         2 A   
8.99999 eV    7.115E-01  3.039E+01       4 A         2 A         2 A   
9.99999 eV    7.500E-01  3.230E+01       4 A         3 A         2 A   
10.9999 eV    7.866E-01  3.413E+01       4 A         3 A         2 A   
11.9999 eV    8.216E-01  3.587E+01       5 A         3 A         2 A   
