# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 2.597999999999999754e-01 8.297000000000000597e+00 2.000000000000000096e-04
1.199999999999999895e-03 2.597999999999999754e-01 8.778000000000000469e+00 2.000000000000000096e-04
1.300000000000000157e-03 2.703999999999999737e-01 9.243999999999999773e+00 2.000000000000000096e-04
1.399999999999999986e-03 2.806000000000000161e-01 9.695000000000000284e+00 2.000000000000000096e-04
1.500000000000000031e-03 2.904999999999999805e-01 1.013000000000000078e+01 2.000000000000000096e-04
1.600000000000000077e-03 2.999999999999999889e-01 1.056000000000000050e+01 2.000000000000000096e-04
1.699999999999999905e-03 3.091999999999999749e-01 1.098000000000000043e+01 2.000000000000000096e-04
1.800000000000000168e-03 3.181999999999999829e-01 1.138000000000000078e+01 2.000000000000000096e-04
2.000000000000000042e-03 3.353999999999999759e-01 1.216999999999999993e+01 2.000000000000000096e-04
2.250000000000000264e-03 3.558000000000000052e-01 1.310999999999999943e+01 2.000000000000000096e-04
2.499990000000000111e-03 3.750000000000000000e-01 1.400000000000000000e+01 3.000000000000000279e-04
2.749989999999999900e-03 3.932999999999999829e-01 1.485999999999999943e+01 3.000000000000000279e-04
2.999990000000000122e-03 4.107999999999999985e-01 1.568999999999999950e+01 3.000000000000000279e-04
3.249989999999999910e-03 4.275999999999999801e-01 1.648000000000000043e+01 3.000000000000000279e-04
3.499990000000000132e-03 4.436999999999999833e-01 1.725000000000000000e+01 3.000000000000000279e-04
3.749989999999999921e-03 4.592999999999999861e-01 1.800000000000000000e+01 3.000000000000000279e-04
3.999990000000000143e-03 4.742999999999999994e-01 1.873000000000000043e+01 3.000000000000000279e-04
4.499990000000000587e-03 5.030999999999999917e-01 2.012000000000000099e+01 3.000000000000000279e-04
4.999990000000000163e-03 5.302999999999999936e-01 2.144000000000000128e+01 3.000000000000000279e-04
5.499990000000000608e-03 5.562000000000000277e-01 2.271000000000000085e+01 3.000000000000000279e-04
5.999990000000000184e-03 5.809999999999999609e-01 2.392000000000000171e+01 4.000000000000000192e-04
6.499990000000000628e-03 6.047000000000000153e-01 2.508999999999999986e+01 4.000000000000000192e-04
6.999990000000000205e-03 6.274999999999999467e-01 2.621999999999999886e+01 4.000000000000000192e-04
7.999990000000000226e-03 6.707999999999999519e-01 2.835999999999999943e+01 4.000000000000000192e-04
8.999990000000001114e-03 7.115000000000000213e-01 3.039000000000000057e+01 4.000000000000000192e-04
9.999990000000000268e-03 7.500000000000000000e-01 3.229999999999999716e+01 4.000000000000000192e-04
1.099989999999999996e-02 7.865999999999999659e-01 3.413000000000000256e+01 4.000000000000000192e-04
1.199990000000000084e-02 8.215999999999999970e-01 3.586999999999999744e+01 5.000000000000000104e-04
1.299990000000000000e-02 8.550999999999999712e-01 3.753999999999999915e+01 5.000000000000000104e-04
1.399990000000000089e-02 8.873999999999999666e-01 3.914999999999999858e+01 5.000000000000000104e-04
1.499990000000000004e-02 9.185999999999999721e-01 4.070000000000000284e+01 5.000000000000000104e-04
1.599990000000000093e-02 9.486999999999999877e-01 4.220000000000000284e+01 5.000000000000000104e-04
1.699990000000000182e-02 9.778999999999999915e-01 4.364999999999999858e+01 5.000000000000000104e-04
1.799989999999999923e-02 1.006000000000000005e+00 4.506000000000000227e+01 5.000000000000000104e-04
1.999990000000000101e-02 1.060999999999999943e+00 4.775000000000000000e+01 6.000000000000000559e-04
2.249989999999999976e-02 1.125000000000000000e+00 5.092999999999999972e+01 6.000000000000000559e-04
2.499990000000000198e-02 1.185999999999999943e+00 5.390999999999999659e+01 6.000000000000000559e-04
2.749990000000000073e-02 1.243999999999999995e+00 5.674000000000000199e+01 6.999999999999999929e-04
2.999989999999999948e-02 1.298999999999999932e+00 5.942999999999999972e+01 6.999999999999999929e-04
3.249989999999999823e-02 1.352000000000000091e+00 6.199000000000000199e+01 6.999999999999999929e-04
3.499990000000000046e-02 1.403000000000000025e+00 6.445000000000000284e+01 6.999999999999999929e-04
3.749989999999999574e-02 1.451999999999999957e+00 6.679999999999999716e+01 6.999999999999999929e-04
3.999989999999999796e-02 1.500000000000000000e+00 6.906999999999999318e+01 8.000000000000000383e-04
4.499989999999999546e-02 1.590999999999999970e+00 7.335999999999999943e+01 8.000000000000000383e-04
4.999989999999999990e-02 1.677000000000000046e+00 7.737000000000000455e+01 8.000000000000000383e-04
5.499989999999999740e-02 1.758999999999999897e+00 8.115000000000000568e+01 9.000000000000000838e-04
5.999989999999999490e-02 1.836999999999999966e+00 8.471999999999999886e+01 9.000000000000000838e-04
6.499989999999999934e-02 1.911999999999999922e+00 8.810999999999999943e+01 1.000000000000000021e-03
6.999990000000000379e-02 1.983999999999999986e+00 9.134000000000000341e+01 1.000000000000000021e-03
7.999989999999999879e-02 2.120999999999999996e+00 9.737999999999999545e+01 1.000000000000000021e-03
8.999989999999999379e-02 2.250000000000000000e+00 1.029000000000000057e+02 1.100000000000000066e-03
9.999990000000000268e-02 2.371999999999999886e+00 1.080999999999999943e+02 1.200000000000000112e-03
1.100000000000000006e-01 2.487999999999999989e+00 1.129000000000000057e+02 1.200000000000000112e-03
1.199999999999999956e-01 2.597999999999999865e+00 1.174000000000000057e+02 1.300000000000000157e-03
1.300000000000000044e-01 2.704000000000000181e+00 1.217000000000000028e+02 1.300000000000000157e-03
1.399989999999999846e-01 2.806000000000000050e+00 1.257999999999999972e+02 1.399999999999999986e-03
1.499989999999999934e-01 2.904999999999999805e+00 1.295999999999999943e+02 1.399999999999999986e-03
1.599990000000000023e-01 3.000000000000000000e+00 1.331999999999999886e+02 1.500000000000000031e-03
1.699990000000000112e-01 3.092999999999999972e+00 1.366999999999999886e+02 1.500000000000000031e-03
1.799989999999999923e-01 3.181999999999999940e+00 1.400999999999999943e+02 1.600000000000000077e-03
1.999990000000000101e-01 3.354000000000000092e+00 1.464000000000000057e+02 1.600000000000000077e-03
2.249990000000000046e-01 3.557999999999999829e+00 1.535999999999999943e+02 1.800000000000000168e-03
2.499989999999999990e-01 3.750000000000000000e+00 1.601999999999999886e+02 1.899999999999999996e-03
2.749990000000000490e-01 3.932999999999999829e+00 1.661999999999999886e+02 2.000000000000000042e-03
2.999990000000000157e-01 4.107999999999999652e+00 1.719000000000000057e+02 2.000000000000000042e-03
3.249990000000000379e-01 4.275999999999999801e+00 1.771999999999999886e+02 2.100000000000000304e-03
3.499990000000000046e-01 4.437000000000000277e+00 1.820999999999999943e+02 2.200000000000000133e-03
3.749990000000000268e-01 4.592999999999999972e+00 1.866999999999999886e+02 2.299999999999999961e-03
3.999990000000000490e-01 4.743999999999999773e+00 1.910999999999999943e+02 2.400000000000000223e-03
