        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.405E-01  7.872E+00       2 A         1 A         1 A   
    1.2 eV    4.405E-01  8.313E+00       2 A         1 A         1 A   
    1.3 eV    4.585E-01  8.739E+00       2 A         1 A         1 A   
    1.4 eV    4.758E-01  9.151E+00       2 A         1 A         1 A   
    1.5 eV    4.925E-01  9.551E+00       2 A         1 A         1 A   
    1.6 eV    5.087E-01  9.940E+00       2 A         1 A         1 A   
    1.7 eV    5.243E-01  1.032E+01       2 A         1 A         1 A   
    1.8 eV    5.395E-01  1.069E+01       2 A         1 A         1 A   
      2 eV    5.687E-01  1.140E+01       2 A         1 A         1 A   
   2.25 eV    6.032E-01  1.224E+01       2 A         1 A         1 A   
2.49999 eV    6.359E-01  1.305E+01       2 A         1 A         1 A   
2.74999 eV    6.669E-01  1.382E+01       2 A         1 A         1 A   
2.99999 eV    6.965E-01  1.455E+01       2 A         2 A         1 A   
3.24999 eV    7.250E-01  1.526E+01       3 A         2 A         1 A   
3.49999 eV    7.524E-01  1.595E+01       3 A         2 A         1 A   
3.74999 eV    7.788E-01  1.661E+01       3 A         2 A         1 A   
3.99999 eV    8.043E-01  1.725E+01       3 A         2 A         1 A   
4.49999 eV    8.531E-01  1.848E+01       3 A         2 A         1 A   
4.99999 eV    8.992E-01  1.964E+01       3 A         2 A         2 A   
5.49999 eV    9.431E-01  2.074E+01       3 A         2 A         2 A   
5.99999 eV    9.851E-01  2.180E+01       3 A         2 A         2 A   
6.49999 eV    1.025E+00  2.281E+01       3 A         2 A         2 A   
6.99999 eV    1.064E+00  2.379E+01       3 A         2 A         2 A   
7.99999 eV    1.137E+00  2.564E+01       4 A         2 A         2 A   
8.99999 eV    1.206E+00  2.737E+01       4 A         3 A         2 A   
9.99999 eV    1.272E+00  2.900E+01       4 A         3 A         2 A   
10.9999 eV    1.334E+00  3.055E+01       4 A         3 A         2 A   
11.9999 eV    1.393E+00  3.202E+01       4 A         3 A         2 A   
