# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 4.405000000000000027e-01 7.871999999999999886e+00 2.000000000000000096e-04
1.199999999999999895e-03 4.405000000000000027e-01 8.313000000000000611e+00 2.000000000000000096e-04
1.300000000000000157e-03 4.585000000000000187e-01 8.739000000000000767e+00 2.000000000000000096e-04
1.399999999999999986e-03 4.758000000000000007e-01 9.150999999999999801e+00 2.000000000000000096e-04
1.500000000000000031e-03 4.924999999999999933e-01 9.551000000000000156e+00 2.000000000000000096e-04
1.600000000000000077e-03 5.087000000000000410e-01 9.939999999999999503e+00 2.000000000000000096e-04
1.699999999999999905e-03 5.242999999999999883e-01 1.032000000000000028e+01 2.000000000000000096e-04
1.800000000000000168e-03 5.394999999999999796e-01 1.068999999999999950e+01 2.000000000000000096e-04
2.000000000000000042e-03 5.686999999999999833e-01 1.140000000000000036e+01 2.000000000000000096e-04
2.250000000000000264e-03 6.031999999999999584e-01 1.224000000000000021e+01 2.000000000000000096e-04
2.499990000000000111e-03 6.359000000000000208e-01 1.305000000000000071e+01 2.000000000000000096e-04
2.749989999999999900e-03 6.669000000000000483e-01 1.382000000000000028e+01 2.000000000000000096e-04
2.999990000000000122e-03 6.965000000000000080e-01 1.455000000000000071e+01 2.000000000000000096e-04
3.249989999999999910e-03 7.249999999999999778e-01 1.525999999999999979e+01 3.000000000000000279e-04
3.499990000000000132e-03 7.523999999999999577e-01 1.594999999999999929e+01 3.000000000000000279e-04
3.749989999999999921e-03 7.788000000000000478e-01 1.660999999999999943e+01 3.000000000000000279e-04
3.999990000000000143e-03 8.043000000000000149e-01 1.725000000000000000e+01 3.000000000000000279e-04
4.499990000000000587e-03 8.530999999999999694e-01 1.848000000000000043e+01 3.000000000000000279e-04
4.999990000000000163e-03 8.991999999999999993e-01 1.964000000000000057e+01 3.000000000000000279e-04
5.499990000000000608e-03 9.431000000000000494e-01 2.073999999999999844e+01 3.000000000000000279e-04
5.999990000000000184e-03 9.850999999999999757e-01 2.180000000000000071e+01 3.000000000000000279e-04
6.499990000000000628e-03 1.024999999999999911e+00 2.280999999999999872e+01 3.000000000000000279e-04
6.999990000000000205e-03 1.064000000000000057e+00 2.378999999999999915e+01 3.000000000000000279e-04
7.999990000000000226e-03 1.137000000000000011e+00 2.564000000000000057e+01 4.000000000000000192e-04
8.999990000000001114e-03 1.205999999999999961e+00 2.737000000000000099e+01 4.000000000000000192e-04
9.999990000000000268e-03 1.272000000000000020e+00 2.900000000000000000e+01 4.000000000000000192e-04
1.099989999999999996e-02 1.334000000000000075e+00 3.055000000000000071e+01 4.000000000000000192e-04
1.199990000000000084e-02 1.393000000000000016e+00 3.202000000000000313e+01 4.000000000000000192e-04
1.299990000000000000e-02 1.449999999999999956e+00 3.342999999999999972e+01 4.000000000000000192e-04
1.399990000000000089e-02 1.504999999999999893e+00 3.477000000000000313e+01 5.000000000000000104e-04
1.499990000000000004e-02 1.558000000000000052e+00 3.607000000000000028e+01 5.000000000000000104e-04
1.599990000000000093e-02 1.608999999999999986e+00 3.731000000000000227e+01 5.000000000000000104e-04
1.699990000000000182e-02 1.657999999999999918e+00 3.852000000000000313e+01 5.000000000000000104e-04
1.799989999999999923e-02 1.705999999999999961e+00 3.967999999999999972e+01 5.000000000000000104e-04
1.999990000000000101e-02 1.798999999999999932e+00 4.189999999999999858e+01 5.000000000000000104e-04
2.249989999999999976e-02 1.907999999999999918e+00 4.449000000000000199e+01 6.000000000000000559e-04
2.499990000000000198e-02 2.011000000000000121e+00 4.690999999999999659e+01 6.000000000000000559e-04
2.749990000000000073e-02 2.108999999999999986e+00 4.920000000000000284e+01 6.000000000000000559e-04
2.999989999999999948e-02 2.202999999999999847e+00 5.135000000000000142e+01 6.000000000000000559e-04
3.249989999999999823e-02 2.293000000000000149e+00 5.339999999999999858e+01 6.999999999999999929e-04
3.499990000000000046e-02 2.379000000000000004e+00 5.534000000000000341e+01 6.999999999999999929e-04
3.749989999999999574e-02 2.463000000000000078e+00 5.720000000000000284e+01 6.999999999999999929e-04
3.999989999999999796e-02 2.544000000000000039e+00 5.897999999999999687e+01 6.999999999999999929e-04
4.499989999999999546e-02 2.697999999999999954e+00 6.234000000000000341e+01 8.000000000000000383e-04
4.999989999999999990e-02 2.843999999999999861e+00 6.545000000000000284e+01 8.000000000000000383e-04
