        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.795E-01  8.330E+00       2 A         1 A           A   
    1.2 eV    4.795E-01  8.822E+00       2 A         1 A           A   
    1.3 eV    4.991E-01  9.300E+00       2 A         1 A         1 A   
    1.4 eV    5.179E-01  9.764E+00       2 A         1 A         1 A   
    1.5 eV    5.361E-01  1.022E+01       2 A         1 A         1 A   
    1.6 eV    5.537E-01  1.066E+01       2 A         1 A         1 A   
    1.7 eV    5.707E-01  1.108E+01       2 A         1 A         1 A   
    1.8 eV    5.873E-01  1.150E+01       2 A         1 A         1 A   
      2 eV    6.191E-01  1.232E+01       2 A         1 A         1 A   
   2.25 eV    6.566E-01  1.329E+01       3 A         1 A         1 A   
2.49999 eV    6.921E-01  1.422E+01       3 A         1 A         1 A   
2.74999 eV    7.259E-01  1.511E+01       3 A         1 A         1 A   
2.99999 eV    7.582E-01  1.597E+01       3 A         1 A         1 A   
3.24999 eV    7.892E-01  1.681E+01       3 A         1 A         1 A   
3.49999 eV    8.189E-01  1.761E+01       3 A         1 A         1 A   
3.74999 eV    8.477E-01  1.839E+01       3 A         1 A         1 A   
3.99999 eV    8.755E-01  1.915E+01       3 A         2 A         1 A   
4.49999 eV    9.286E-01  2.062E+01       3 A         2 A         1 A   
4.99999 eV    9.788E-01  2.201E+01       4 A         2 A         1 A   
5.49999 eV    1.027E+00  2.335E+01       4 A         2 A         1 A   
5.99999 eV    1.072E+00  2.464E+01       4 A         2 A         1 A   
6.49999 eV    1.116E+00  2.588E+01       4 A         2 A         1 A   
6.99999 eV    1.158E+00  2.707E+01       4 A         2 A         2 A   
7.99999 eV    1.238E+00  2.936E+01       4 A         2 A         2 A   
8.99999 eV    1.313E+00  3.152E+01       4 A         2 A         2 A   
9.99999 eV    1.384E+00  3.357E+01       5 A         2 A         2 A   
10.9999 eV    1.452E+00  3.553E+01       5 A         2 A         2 A   
11.9999 eV    1.516E+00  3.741E+01       5 A         3 A         2 A   
