# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 4.794999999999999818e-01 8.330000000000000071e+00 2.000000000000000096e-04
1.199999999999999895e-03 4.794999999999999818e-01 8.821999999999999176e+00 2.000000000000000096e-04
1.300000000000000157e-03 4.990999999999999881e-01 9.300000000000000711e+00 2.000000000000000096e-04
1.399999999999999986e-03 5.179000000000000270e-01 9.763999999999999346e+00 2.000000000000000096e-04
1.500000000000000031e-03 5.361000000000000210e-01 1.022000000000000064e+01 2.000000000000000096e-04
1.600000000000000077e-03 5.536999999999999700e-01 1.066000000000000014e+01 2.000000000000000096e-04
1.699999999999999905e-03 5.706999999999999851e-01 1.108000000000000007e+01 2.000000000000000096e-04
1.800000000000000168e-03 5.873000000000000442e-01 1.150000000000000000e+01 2.000000000000000096e-04
2.000000000000000042e-03 6.190999999999999837e-01 1.232000000000000028e+01 2.000000000000000096e-04
2.250000000000000264e-03 6.565999999999999615e-01 1.328999999999999915e+01 3.000000000000000279e-04
2.499990000000000111e-03 6.921000000000000485e-01 1.422000000000000064e+01 3.000000000000000279e-04
2.749989999999999900e-03 7.258999999999999897e-01 1.510999999999999943e+01 3.000000000000000279e-04
2.999990000000000122e-03 7.581999999999999851e-01 1.597000000000000064e+01 3.000000000000000279e-04
3.249989999999999910e-03 7.892000000000000126e-01 1.680999999999999872e+01 3.000000000000000279e-04
3.499990000000000132e-03 8.188999999999999613e-01 1.760999999999999943e+01 3.000000000000000279e-04
3.749989999999999921e-03 8.477000000000000091e-01 1.839000000000000057e+01 3.000000000000000279e-04
3.999990000000000143e-03 8.754999999999999449e-01 1.914999999999999858e+01 3.000000000000000279e-04
4.499990000000000587e-03 9.285999999999999810e-01 2.062000000000000099e+01 3.000000000000000279e-04
4.999990000000000163e-03 9.788000000000000034e-01 2.201000000000000156e+01 4.000000000000000192e-04
5.499990000000000608e-03 1.026999999999999913e+00 2.335000000000000142e+01 4.000000000000000192e-04
5.999990000000000184e-03 1.072000000000000064e+00 2.464000000000000057e+01 4.000000000000000192e-04
6.499990000000000628e-03 1.116000000000000103e+00 2.587999999999999901e+01 4.000000000000000192e-04
6.999990000000000205e-03 1.157999999999999918e+00 2.707000000000000028e+01 4.000000000000000192e-04
7.999990000000000226e-03 1.237999999999999989e+00 2.935999999999999943e+01 4.000000000000000192e-04
8.999990000000001114e-03 1.312999999999999945e+00 3.151999999999999957e+01 4.000000000000000192e-04
9.999990000000000268e-03 1.383999999999999897e+00 3.357000000000000028e+01 5.000000000000000104e-04
1.099989999999999996e-02 1.451999999999999957e+00 3.553000000000000114e+01 5.000000000000000104e-04
1.199990000000000084e-02 1.516000000000000014e+00 3.740999999999999659e+01 5.000000000000000104e-04
1.299990000000000000e-02 1.578000000000000069e+00 3.921999999999999886e+01 5.000000000000000104e-04
1.399990000000000089e-02 1.637999999999999901e+00 4.096000000000000085e+01 5.000000000000000104e-04
1.499990000000000004e-02 1.695000000000000062e+00 4.264999999999999858e+01 5.000000000000000104e-04
1.599990000000000093e-02 1.750999999999999890e+00 4.428000000000000114e+01 6.000000000000000559e-04
1.699990000000000182e-02 1.804999999999999938e+00 4.585999999999999943e+01 6.000000000000000559e-04
1.799989999999999923e-02 1.856999999999999984e+00 4.739000000000000057e+01 6.000000000000000559e-04
1.999990000000000101e-02 1.957999999999999963e+00 5.034000000000000341e+01 6.000000000000000559e-04
2.249989999999999976e-02 2.076000000000000068e+00 5.382999999999999829e+01 6.000000000000000559e-04
2.499990000000000198e-02 2.189000000000000057e+00 5.713000000000000256e+01 6.999999999999999929e-04
