        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.842E-01  4.052E+00       5 A         1 A           A   
    1.2 eV    5.842E-01  4.317E+00       5 A         1 A           A   
    1.3 eV    6.080E-01  4.577E+00       5 A         1 A           A   
    1.4 eV    6.310E-01  4.830E+00       5 A         1 A           A   
    1.5 eV    6.531E-01  5.078E+00       5 A         1 A           A   
    1.6 eV    6.746E-01  5.321E+00       5 A         1 A           A   
    1.7 eV    6.953E-01  5.560E+00       6 A         1 A           A   
    1.8 eV    7.155E-01  5.795E+00       6 A         1 A           A   
      2 eV    7.542E-01  6.253E+00       6 A         1 A         1 A   
   2.25 eV    7.999E-01  6.806E+00       6 A         1 A         1 A   
2.49999 eV    8.432E-01  7.342E+00       7 A         1 A         1 A   
2.74999 eV    8.844E-01  7.861E+00       7 A         1 A         1 A   
2.99999 eV    9.237E-01  8.366E+00       7 A         1 A         1 A   
3.24999 eV    9.614E-01  8.858E+00       7 A         1 A         1 A   
3.49999 eV    9.977E-01  9.338E+00       8 A         1 A         1 A   
3.74999 eV    1.033E+00  9.808E+00       8 A         1 A         1 A   
3.99999 eV    1.067E+00  1.027E+01       8 A         2 A         1 A   
4.49999 eV    1.131E+00  1.116E+01       8 A         2 A         1 A   
4.99999 eV    1.192E+00  1.203E+01       9 A         2 A         1 A   
5.49999 eV    1.251E+00  1.286E+01       9 A         2 A         1 A   
5.99999 eV    1.306E+00  1.367E+01       9 A         2 A         1 A   
6.49999 eV    1.360E+00  1.446E+01      10 A         2 A         1 A   
6.99999 eV    1.411E+00  1.524E+01      10 A         2 A         1 A   
7.99999 eV    1.508E+00  1.673E+01      11 A         2 A         1 A   
8.99999 eV    1.600E+00  1.816E+01      11 A         2 A         1 A   
9.99999 eV    1.686E+00  1.953E+01      12 A         2 A         2 A   
10.9999 eV    1.769E+00  2.086E+01      12 A         2 A         2 A   
11.9999 eV    1.847E+00  2.216E+01      12 A         2 A         2 A   
