# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 5.842000000000000526e-01 4.051999999999999602e+00 5.000000000000000104e-04
1.199999999999999895e-03 5.842000000000000526e-01 4.317000000000000171e+00 5.000000000000000104e-04
1.300000000000000157e-03 6.079999999999999849e-01 4.576999999999999957e+00 5.000000000000000104e-04
1.399999999999999986e-03 6.310000000000000053e-01 4.830000000000000071e+00 5.000000000000000104e-04
1.500000000000000031e-03 6.531000000000000139e-01 5.078000000000000291e+00 5.000000000000000104e-04
1.600000000000000077e-03 6.745999999999999774e-01 5.320999999999999730e+00 5.000000000000000104e-04
1.699999999999999905e-03 6.953000000000000291e-01 5.559999999999999609e+00 6.000000000000000559e-04
1.800000000000000168e-03 7.155000000000000249e-01 5.794999999999999929e+00 6.000000000000000559e-04
2.000000000000000042e-03 7.541999999999999815e-01 6.253000000000000114e+00 6.000000000000000559e-04
2.250000000000000264e-03 7.999000000000000554e-01 6.806000000000000050e+00 6.000000000000000559e-04
2.499990000000000111e-03 8.431999999999999496e-01 7.341999999999999638e+00 6.999999999999999929e-04
2.749989999999999900e-03 8.843999999999999639e-01 7.860999999999999766e+00 6.999999999999999929e-04
2.999990000000000122e-03 9.236999999999999655e-01 8.365999999999999659e+00 6.999999999999999929e-04
3.249989999999999910e-03 9.614000000000000323e-01 8.858000000000000540e+00 6.999999999999999929e-04
3.499990000000000132e-03 9.977000000000000313e-01 9.337999999999999190e+00 8.000000000000000383e-04
3.749989999999999921e-03 1.032999999999999918e+00 9.807999999999999829e+00 8.000000000000000383e-04
3.999990000000000143e-03 1.066999999999999948e+00 1.026999999999999957e+01 8.000000000000000383e-04
4.499990000000000587e-03 1.131000000000000005e+00 1.116000000000000014e+01 8.000000000000000383e-04
4.999990000000000163e-03 1.191999999999999948e+00 1.202999999999999936e+01 9.000000000000000838e-04
5.499990000000000608e-03 1.250999999999999890e+00 1.285999999999999943e+01 9.000000000000000838e-04
5.999990000000000184e-03 1.306000000000000050e+00 1.366999999999999993e+01 9.000000000000000838e-04
6.499990000000000628e-03 1.360000000000000098e+00 1.446000000000000085e+01 1.000000000000000021e-03
6.999990000000000205e-03 1.411000000000000032e+00 1.524000000000000021e+01 1.000000000000000021e-03
7.999990000000000226e-03 1.508000000000000007e+00 1.673000000000000043e+01 1.100000000000000066e-03
8.999990000000001114e-03 1.600000000000000089e+00 1.816000000000000014e+01 1.100000000000000066e-03
9.999990000000000268e-03 1.685999999999999943e+00 1.953000000000000114e+01 1.200000000000000112e-03
1.099989999999999996e-02 1.768999999999999906e+00 2.085999999999999943e+01 1.200000000000000112e-03
1.199990000000000084e-02 1.846999999999999975e+00 2.216000000000000014e+01 1.200000000000000112e-03
1.299990000000000000e-02 1.923000000000000043e+00 2.341000000000000014e+01 1.300000000000000157e-03
1.399990000000000089e-02 1.995000000000000107e+00 2.462999999999999901e+01 1.300000000000000157e-03
1.499990000000000004e-02 2.064999999999999947e+00 2.582999999999999829e+01 1.300000000000000157e-03
1.599990000000000093e-02 2.133000000000000007e+00 2.698999999999999844e+01 1.399999999999999986e-03
1.699990000000000182e-02 2.198999999999999844e+00 2.812999999999999901e+01 1.399999999999999986e-03
1.799989999999999923e-02 2.262999999999999901e+00 2.925000000000000000e+01 1.399999999999999986e-03
1.999990000000000101e-02 2.384999999999999787e+00 3.142000000000000171e+01 1.500000000000000031e-03
2.249989999999999976e-02 2.529999999999999805e+00 3.403000000000000114e+01 1.600000000000000077e-03
2.499990000000000198e-02 2.665999999999999925e+00 3.653999999999999915e+01 1.600000000000000077e-03
2.749990000000000073e-02 2.797000000000000153e+00 3.896000000000000085e+01 1.700000000000000122e-03
2.999989999999999948e-02 2.920999999999999819e+00 4.129999999999999716e+01 1.700000000000000122e-03
3.249989999999999823e-02 3.040000000000000036e+00 4.357000000000000028e+01 1.800000000000000168e-03
3.499990000000000046e-02 3.154999999999999805e+00 4.577000000000000313e+01 1.800000000000000168e-03
3.749989999999999574e-02 3.266000000000000014e+00 4.792000000000000171e+01 1.899999999999999996e-03
3.999989999999999796e-02 3.373000000000000220e+00 5.002000000000000313e+01 1.899999999999999996e-03
4.499989999999999546e-02 3.576999999999999957e+00 5.407000000000000028e+01 2.000000000000000042e-03
4.999989999999999990e-02 3.770999999999999908e+00 5.795000000000000284e+01 2.100000000000000304e-03
5.499989999999999740e-02 3.955000000000000071e+00 6.168999999999999773e+01 2.100000000000000304e-03
5.999989999999999490e-02 4.131000000000000227e+00 6.529999999999999716e+01 2.200000000000000133e-03
6.499989999999999934e-02 4.299999999999999822e+00 6.879000000000000625e+01 2.299999999999999961e-03
