        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.387E+00  2.078E+01      10 A         3 A         2 A   
10.9999 eV    2.504E+00  2.219E+01      10 A         3 A         2 A   
11.9999 eV    2.615E+00  2.357E+01      11 A         3 A         2 A   
12.9999 eV    2.722E+00  2.490E+01      11 A         3 A         2 A   
13.9999 eV    2.825E+00  2.620E+01      11 A         3 A         2 A   
14.9999 eV    2.924E+00  2.747E+01      12 A         3 A         2 A   
15.9999 eV    3.020E+00  2.871E+01      12 A         3 A         2 A   
16.9999 eV    3.113E+00  2.992E+01      12 A         3 A         2 A   
17.9999 eV    3.203E+00  3.111E+01      12 A         3 A         2 A   
19.9999 eV    3.376E+00  3.342E+01      13 A         3 A         3 A   
22.4999 eV    3.581E+00  3.620E+01      13 A         4 A         3 A   
24.9999 eV    3.775E+00  3.886E+01      14 A         4 A         3 A   
27.4999 eV    3.959E+00  4.143E+01      14 A         4 A         3 A   
29.9999 eV    4.135E+00  4.392E+01      15 A         4 A         3 A   
32.4999 eV    4.304E+00  4.634E+01      15 A         4 A         3 A   
34.9999 eV    4.466E+00  4.868E+01      16 A         4 A         3 A   
37.4999 eV    4.623E+00  5.097E+01      16 A         4 A         3 A   
39.9999 eV    4.774E+00  5.320E+01      16 A         4 A         3 A   
44.9999 eV    5.064E+00  5.750E+01      17 A         5 A         3 A   
49.9999 eV    5.338E+00  6.163E+01      18 A         5 A         4 A   
54.9999 eV    5.599E+00  6.561E+01      18 A         5 A         4 A   
59.9999 eV    5.848E+00  6.944E+01      19 A         5 A         4 A   
64.9999 eV    6.086E+00  7.316E+01      20 A         5 A         4 A   
69.9999 eV    6.316E+00  7.676E+01      20 A         5 A         4 A   
79.9999 eV    6.752E+00  8.368E+01      21 A         6 A         4 A   
89.9999 eV    7.162E+00  9.027E+01      22 A         6 A         5 A   
99.9999 eV    7.549E+00  9.656E+01      23 A         6 A         5 A   
    110 eV    7.918E+00  1.026E+02      24 A         7 A         5 A   
