# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.387000000000000011e+00 2.078000000000000114e+01 1.000000000000000021e-03
1.099989999999999996e-02 2.504000000000000004e+00 2.219000000000000128e+01 1.000000000000000021e-03
1.199990000000000084e-02 2.615000000000000213e+00 2.357000000000000028e+01 1.100000000000000066e-03
1.299990000000000000e-02 2.721999999999999975e+00 2.489999999999999858e+01 1.100000000000000066e-03
1.399990000000000089e-02 2.825000000000000178e+00 2.619999999999999929e+01 1.100000000000000066e-03
1.499990000000000004e-02 2.923999999999999932e+00 2.746999999999999886e+01 1.200000000000000112e-03
1.599990000000000093e-02 3.020000000000000018e+00 2.871000000000000085e+01 1.200000000000000112e-03
1.699990000000000182e-02 3.112999999999999989e+00 2.992000000000000171e+01 1.200000000000000112e-03
1.799989999999999923e-02 3.202999999999999847e+00 3.110999999999999943e+01 1.200000000000000112e-03
1.999990000000000101e-02 3.375999999999999890e+00 3.342000000000000171e+01 1.300000000000000157e-03
2.249989999999999976e-02 3.580999999999999961e+00 3.620000000000000284e+01 1.300000000000000157e-03
2.499990000000000198e-02 3.774999999999999911e+00 3.885999999999999943e+01 1.399999999999999986e-03
2.749990000000000073e-02 3.959000000000000075e+00 4.142999999999999972e+01 1.399999999999999986e-03
2.999989999999999948e-02 4.134999999999999787e+00 4.392000000000000171e+01 1.500000000000000031e-03
3.249989999999999823e-02 4.304000000000000270e+00 4.634000000000000341e+01 1.500000000000000031e-03
3.499990000000000046e-02 4.466000000000000192e+00 4.867999999999999972e+01 1.600000000000000077e-03
3.749989999999999574e-02 4.623000000000000220e+00 5.096999999999999886e+01 1.600000000000000077e-03
3.999989999999999796e-02 4.774000000000000021e+00 5.320000000000000284e+01 1.600000000000000077e-03
4.499989999999999546e-02 5.064000000000000057e+00 5.750000000000000000e+01 1.700000000000000122e-03
4.999989999999999990e-02 5.338000000000000078e+00 6.163000000000000256e+01 1.800000000000000168e-03
5.499989999999999740e-02 5.599000000000000199e+00 6.560999999999999943e+01 1.800000000000000168e-03
5.999989999999999490e-02 5.847999999999999865e+00 6.943999999999999773e+01 1.899999999999999996e-03
6.499989999999999934e-02 6.086000000000000298e+00 7.315999999999999659e+01 2.000000000000000042e-03
6.999990000000000379e-02 6.315999999999999837e+00 7.676000000000000512e+01 2.000000000000000042e-03
7.999989999999999879e-02 6.751999999999999780e+00 8.368000000000000682e+01 2.100000000000000304e-03
8.999989999999999379e-02 7.161999999999999922e+00 9.026999999999999602e+01 2.200000000000000133e-03
9.999990000000000268e-02 7.549000000000000377e+00 9.656000000000000227e+01 2.299999999999999961e-03
1.100000000000000006e-01 7.918000000000000149e+00 1.025999999999999943e+02 2.400000000000000223e-03
1.199999999999999956e-01 8.269999999999999574e+00 1.084000000000000057e+02 2.400000000000000223e-03
1.300000000000000044e-01 8.606999999999999318e+00 1.140999999999999943e+02 2.500000000000000052e-03
1.399989999999999846e-01 8.932000000000000384e+00 1.195000000000000000e+02 2.600000000000000314e-03
1.499989999999999934e-01 9.246000000000000441e+00 1.247999999999999972e+02 2.600000000000000314e-03
1.599990000000000023e-01 9.548999999999999488e+00 1.299000000000000057e+02 2.700000000000000143e-03
1.699990000000000112e-01 9.842999999999999972e+00 1.349000000000000057e+02 2.799999999999999972e-03
