        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.361E-01  1.038E+01       1 A         1 A           A   
    1.2 eV    5.361E-01  1.099E+01       1 A         1 A         1 A   
    1.3 eV    5.580E-01  1.158E+01       1 A         1 A         1 A   
    1.4 eV    5.790E-01  1.215E+01       1 A         1 A         1 A   
    1.5 eV    5.994E-01  1.271E+01       1 A         1 A         1 A   
    1.6 eV    6.190E-01  1.325E+01       1 A         1 A         1 A   
    1.7 eV    6.381E-01  1.377E+01       1 A         1 A         1 A   
    1.8 eV    6.566E-01  1.429E+01       1 A         1 A         1 A   
      2 eV    6.921E-01  1.529E+01       2 A         1 A         1 A   
   2.25 eV    7.341E-01  1.648E+01       2 A         1 A         1 A   
2.49999 eV    7.738E-01  1.761E+01       2 A         1 A         1 A   
2.74999 eV    8.115E-01  1.871E+01       2 A         1 A         1 A   
2.99999 eV    8.476E-01  1.976E+01       2 A         1 A         1 A   
3.24999 eV    8.822E-01  2.077E+01       2 A         1 A         1 A   
3.49999 eV    9.155E-01  2.176E+01       2 A         1 A         1 A   
3.74999 eV    9.477E-01  2.271E+01       2 A         1 A         1 A   
3.99999 eV    9.788E-01  2.363E+01       2 A         1 A         1 A   
4.49999 eV    1.038E+00  2.541E+01       2 A         1 A         1 A   
4.99999 eV    1.094E+00  2.711E+01       2 A         1 A         1 A   
5.49999 eV    1.148E+00  2.873E+01       2 A         1 A         1 A   
5.99999 eV    1.199E+00  3.029E+01       2 A         2 A         1 A   
6.49999 eV    1.248E+00  3.179E+01       2 A         2 A         1 A   
6.99999 eV    1.295E+00  3.323E+01       3 A         2 A         1 A   
7.99999 eV    1.384E+00  3.599E+01       3 A         2 A         1 A   
8.99999 eV    1.468E+00  3.860E+01       3 A         2 A         1 A   
9.99999 eV    1.548E+00  4.107E+01       3 A         2 A         1 A   
10.9999 eV    1.623E+00  4.342E+01       3 A         2 A         2 A   
11.9999 eV    1.695E+00  4.568E+01       3 A         2 A         2 A   
