        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.402E-01  9.386E+00       1 A         1 A         1 A   
    1.2 eV    6.402E-01  9.921E+00       1 A         1 A         1 A   
    1.3 eV    6.663E-01  1.044E+01       1 A         1 A         1 A   
    1.4 eV    6.915E-01  1.094E+01       1 A         1 A         1 A   
    1.5 eV    7.157E-01  1.143E+01       1 A         1 A         1 A   
    1.6 eV    7.392E-01  1.190E+01       1 A         1 A         1 A   
    1.7 eV    7.620E-01  1.236E+01       1 A         1 A         1 A   
    1.8 eV    7.841E-01  1.281E+01       1 A         1 A         1 A   
      2 eV    8.265E-01  1.368E+01       1 A         1 A         1 A   
   2.25 eV    8.766E-01  1.471E+01       2 A         1 A         1 A   
2.49999 eV    9.240E-01  1.570E+01       2 A         1 A         1 A   
2.74999 eV    9.691E-01  1.664E+01       2 A         1 A         1 A   
2.99999 eV    1.012E+00  1.755E+01       2 A         1 A         1 A   
3.24999 eV    1.054E+00  1.842E+01       2 A         1 A         1 A   
3.49999 eV    1.093E+00  1.926E+01       2 A         1 A         1 A   
3.74999 eV    1.132E+00  2.008E+01       2 A         1 A         1 A   
3.99999 eV    1.169E+00  2.087E+01       2 A         1 A         1 A   
4.49999 eV    1.240E+00  2.239E+01       2 A         2 A         1 A   
4.99999 eV    1.307E+00  2.383E+01       2 A         2 A         1 A   
5.49999 eV    1.371E+00  2.520E+01       2 A         2 A         1 A   
5.99999 eV    1.431E+00  2.652E+01       2 A         2 A         1 A   
6.49999 eV    1.490E+00  2.778E+01       2 A         2 A         1 A   
6.99999 eV    1.546E+00  2.900E+01       2 A         2 A         1 A   
7.99999 eV    1.653E+00  3.132E+01       3 A         2 A         1 A   
8.99999 eV    1.753E+00  3.349E+01       3 A         2 A         2 A   
9.99999 eV    1.848E+00  3.554E+01       3 A         2 A         2 A   
10.9999 eV    1.938E+00  3.750E+01       3 A         2 A         2 A   
11.9999 eV    2.024E+00  3.936E+01       3 A         2 A         2 A   
