        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.888E-01  1.083E+01       1 A         1 A           A   
    1.2 eV    7.888E-01  1.148E+01       1 A         1 A           A   
    1.3 eV    8.210E-01  1.211E+01       1 A         1 A           A   
    1.4 eV    8.520E-01  1.272E+01       1 A         1 A         1 A   
    1.5 eV    8.819E-01  1.332E+01       1 A         1 A         1 A   
    1.6 eV    9.108E-01  1.390E+01       2 A         1 A         1 A   
    1.7 eV    9.388E-01  1.447E+01       2 A         1 A         1 A   
    1.8 eV    9.660E-01  1.502E+01       2 A         1 A         1 A   
      2 eV    1.018E+00  1.610E+01       2 A         1 A         1 A   
   2.25 eV    1.080E+00  1.739E+01       2 A         1 A         1 A   
2.49999 eV    1.138E+00  1.863E+01       2 A         1 A         1 A   
2.74999 eV    1.194E+00  1.982E+01       2 A         1 A         1 A   
2.99999 eV    1.247E+00  2.097E+01       2 A         1 A         1 A   
3.24999 eV    1.298E+00  2.208E+01       2 A         1 A         1 A   
3.49999 eV    1.347E+00  2.315E+01       2 A         1 A         1 A   
3.74999 eV    1.394E+00  2.420E+01       2 A         1 A         1 A   
3.99999 eV    1.440E+00  2.522E+01       2 A         1 A         1 A   
4.49999 eV    1.527E+00  2.718E+01       2 A         1 A         1 A   
4.99999 eV    1.610E+00  2.905E+01       2 A         1 A         1 A   
5.49999 eV    1.689E+00  3.085E+01       3 A         1 A         1 A   
5.99999 eV    1.764E+00  3.258E+01       3 A         1 A         1 A   
6.49999 eV    1.836E+00  3.425E+01       3 A         1 A         1 A   
6.99999 eV    1.905E+00  3.587E+01       3 A         1 A         1 A   
7.99999 eV    2.037E+00  3.896E+01       3 A         2 A         1 A   
8.99999 eV    2.160E+00  4.189E+01       3 A         2 A         1 A   
9.99999 eV    2.277E+00  4.468E+01       3 A         2 A         1 A   
10.9999 eV    2.388E+00  4.735E+01       3 A         2 A         1 A   
11.9999 eV    2.494E+00  4.991E+01       3 A         2 A         1 A   
