# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 7.887999999999999456e-01 1.083000000000000007e+01 1.000000000000000048e-04
1.199999999999999895e-03 7.887999999999999456e-01 1.148000000000000043e+01 1.000000000000000048e-04
1.300000000000000157e-03 8.209999999999999520e-01 1.210999999999999943e+01 1.000000000000000048e-04
1.399999999999999986e-03 8.519999999999999796e-01 1.272000000000000064e+01 1.000000000000000048e-04
1.500000000000000031e-03 8.819000000000000172e-01 1.332000000000000028e+01 1.000000000000000048e-04
1.600000000000000077e-03 9.108000000000000540e-01 1.390000000000000036e+01 2.000000000000000096e-04
1.699999999999999905e-03 9.387999999999999678e-01 1.447000000000000064e+01 2.000000000000000096e-04
1.800000000000000168e-03 9.659999999999999698e-01 1.501999999999999957e+01 2.000000000000000096e-04
2.000000000000000042e-03 1.018000000000000016e+00 1.610000000000000142e+01 2.000000000000000096e-04
2.250000000000000264e-03 1.080000000000000071e+00 1.739000000000000057e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.137999999999999901e+00 1.862999999999999901e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.193999999999999950e+00 1.982000000000000028e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.247000000000000108e+00 2.096999999999999886e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.298000000000000043e+00 2.207999999999999829e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.346999999999999975e+00 2.314999999999999858e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.393999999999999906e+00 2.419999999999999929e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.439999999999999947e+00 2.521999999999999886e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.526999999999999913e+00 2.717999999999999972e+01 2.000000000000000096e-04
4.999990000000000163e-03 1.610000000000000098e+00 2.905000000000000071e+01 2.000000000000000096e-04
5.499990000000000608e-03 1.689000000000000057e+00 3.085000000000000142e+01 3.000000000000000279e-04
5.999990000000000184e-03 1.764000000000000012e+00 3.257999999999999829e+01 3.000000000000000279e-04
6.499990000000000628e-03 1.836000000000000076e+00 3.425000000000000000e+01 3.000000000000000279e-04
