        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.521E-01  1.019E+01       1 A         1 A         1 A   
    1.2 eV    4.521E-01  1.078E+01       1 A         1 A         1 A   
    1.3 eV    4.706E-01  1.135E+01       1 A         1 A         1 A   
    1.4 eV    4.884E-01  1.191E+01       1 A         1 A         1 A   
    1.5 eV    5.055E-01  1.245E+01       1 A         1 A         1 A   
    1.6 eV    5.221E-01  1.297E+01       1 A         1 A         1 A   
    1.7 eV    5.382E-01  1.349E+01       1 A         1 A         1 A   
    1.8 eV    5.538E-01  1.399E+01       1 A         1 A         1 A   
      2 eV    5.837E-01  1.496E+01       2 A         1 A         1 A   
   2.25 eV    6.191E-01  1.611E+01       2 A         1 A         1 A   
2.49999 eV    6.526E-01  1.722E+01       2 A         1 A         1 A   
2.74999 eV    6.845E-01  1.828E+01       2 A         1 A         1 A   
2.99999 eV    7.149E-01  1.930E+01       2 A         1 A         1 A   
3.24999 eV    7.441E-01  2.028E+01       2 A         1 A         1 A   
3.49999 eV    7.722E-01  2.123E+01       2 A         1 A         1 A   
3.74999 eV    7.993E-01  2.216E+01       2 A         1 A         1 A   
3.99999 eV    8.255E-01  2.305E+01       2 A         1 A         1 A   
4.49999 eV    8.756E-01  2.477E+01       2 A         1 A         1 A   
4.99999 eV    9.229E-01  2.641E+01       2 A         1 A         1 A   
5.49999 eV    9.680E-01  2.798E+01       2 A         2 A         1 A   
5.99999 eV    1.011E+00  2.948E+01       2 A         2 A         1 A   
6.49999 eV    1.052E+00  3.093E+01       2 A         2 A         1 A   
6.99999 eV    1.092E+00  3.233E+01       3 A         2 A         1 A   
7.99999 eV    1.167E+00  3.498E+01       3 A         2 A         1 A   
8.99999 eV    1.238E+00  3.749E+01       3 A         2 A         1 A   
9.99999 eV    1.305E+00  3.987E+01       3 A         2 A         1 A   
10.9999 eV    1.369E+00  4.213E+01       3 A         2 A         2 A   
11.9999 eV    1.430E+00  4.429E+01       3 A         2 A         2 A   
