# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 4.521000000000000019e-01 1.018999999999999950e+01 1.000000000000000048e-04
1.199999999999999895e-03 4.521000000000000019e-01 1.077999999999999936e+01 1.000000000000000048e-04
1.300000000000000157e-03 4.706000000000000183e-01 1.134999999999999964e+01 1.000000000000000048e-04
1.399999999999999986e-03 4.884000000000000008e-01 1.191000000000000014e+01 1.000000000000000048e-04
1.500000000000000031e-03 5.054999999999999494e-01 1.244999999999999929e+01 1.000000000000000048e-04
1.600000000000000077e-03 5.221000000000000085e-01 1.297000000000000064e+01 1.000000000000000048e-04
1.699999999999999905e-03 5.382000000000000117e-01 1.349000000000000021e+01 1.000000000000000048e-04
1.800000000000000168e-03 5.537999999999999590e-01 1.399000000000000021e+01 1.000000000000000048e-04
2.000000000000000042e-03 5.836999999999999966e-01 1.496000000000000085e+01 2.000000000000000096e-04
2.250000000000000264e-03 6.190999999999999837e-01 1.610999999999999943e+01 2.000000000000000096e-04
2.499990000000000111e-03 6.525999999999999579e-01 1.721999999999999886e+01 2.000000000000000096e-04
2.749989999999999900e-03 6.844999999999999973e-01 1.828000000000000114e+01 2.000000000000000096e-04
2.999990000000000122e-03 7.148999999999999799e-01 1.930000000000000071e+01 2.000000000000000096e-04
3.249989999999999910e-03 7.440999999999999837e-01 2.028000000000000114e+01 2.000000000000000096e-04
3.499990000000000132e-03 7.721999999999999975e-01 2.123000000000000043e+01 2.000000000000000096e-04
3.749989999999999921e-03 7.993000000000000105e-01 2.216000000000000014e+01 2.000000000000000096e-04
3.999990000000000143e-03 8.255000000000000115e-01 2.305000000000000071e+01 2.000000000000000096e-04
4.499990000000000587e-03 8.756000000000000449e-01 2.476999999999999957e+01 2.000000000000000096e-04
4.999990000000000163e-03 9.229000000000000536e-01 2.641000000000000014e+01 2.000000000000000096e-04
5.499990000000000608e-03 9.679999999999999716e-01 2.798000000000000043e+01 2.000000000000000096e-04
5.999990000000000184e-03 1.010999999999999899e+00 2.948000000000000043e+01 2.000000000000000096e-04
6.499990000000000628e-03 1.052000000000000046e+00 3.092999999999999972e+01 2.000000000000000096e-04
6.999990000000000205e-03 1.092000000000000082e+00 3.232999999999999829e+01 3.000000000000000279e-04
7.999990000000000226e-03 1.167000000000000037e+00 3.497999999999999687e+01 3.000000000000000279e-04
8.999990000000001114e-03 1.237999999999999989e+00 3.749000000000000199e+01 3.000000000000000279e-04
9.999990000000000268e-03 1.304999999999999938e+00 3.986999999999999744e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.368999999999999995e+00 4.213000000000000256e+01 3.000000000000000279e-04
1.199990000000000084e-02 1.429999999999999938e+00 4.428999999999999915e+01 3.000000000000000279e-04
1.299990000000000000e-02 1.487999999999999989e+00 4.636999999999999744e+01 3.000000000000000279e-04
1.399990000000000089e-02 1.544000000000000039e+00 4.836999999999999744e+01 3.000000000000000279e-04
1.499990000000000004e-02 1.598999999999999977e+00 5.029999999999999716e+01 3.000000000000000279e-04
1.599990000000000093e-02 1.651000000000000023e+00 5.215999999999999659e+01 4.000000000000000192e-04
1.699990000000000182e-02 1.701999999999999957e+00 5.396000000000000085e+01 4.000000000000000192e-04
1.799989999999999923e-02 1.750999999999999890e+00 5.571000000000000085e+01 4.000000000000000192e-04
1.999990000000000101e-02 1.846000000000000085e+00 5.907000000000000028e+01 4.000000000000000192e-04
2.249989999999999976e-02 1.957999999999999963e+00 6.302000000000000313e+01 4.000000000000000192e-04
2.499990000000000198e-02 2.064000000000000057e+00 6.673999999999999488e+01 4.000000000000000192e-04
2.749990000000000073e-02 2.165000000000000036e+00 7.026999999999999602e+01 4.000000000000000192e-04
2.999989999999999948e-02 2.261000000000000121e+00 7.362000000000000455e+01 5.000000000000000104e-04
3.249989999999999823e-02 2.353000000000000203e+00 7.681999999999999318e+01 5.000000000000000104e-04
3.499990000000000046e-02 2.442000000000000171e+00 7.989000000000000057e+01 5.000000000000000104e-04
