        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.667E-01  8.844E+00       1 A         1 A         1 A   
    1.2 eV    7.667E-01  9.343E+00       1 A         1 A         1 A   
    1.3 eV    7.980E-01  9.826E+00       1 A         1 A         1 A   
    1.4 eV    8.281E-01  1.029E+01       1 A         1 A         1 A   
    1.5 eV    8.571E-01  1.075E+01       1 A         1 A         1 A   
    1.6 eV    8.853E-01  1.119E+01       1 A         1 A         1 A   
    1.7 eV    9.125E-01  1.161E+01       1 A         1 A         1 A   
    1.8 eV    9.390E-01  1.203E+01       1 A         1 A         1 A   
      2 eV    9.898E-01  1.284E+01       1 A         1 A         1 A   
   2.25 eV    1.050E+00  1.380E+01       1 A         1 A         1 A   
2.49999 eV    1.107E+00  1.471E+01       2 A         1 A         1 A   
2.74999 eV    1.161E+00  1.559E+01       2 A         1 A         1 A   
2.99999 eV    1.212E+00  1.642E+01       2 A         1 A         1 A   
3.24999 eV    1.262E+00  1.723E+01       2 A         1 A         1 A   
3.49999 eV    1.309E+00  1.801E+01       2 A         1 A         1 A   
3.74999 eV    1.355E+00  1.876E+01       2 A         1 A         1 A   
3.99999 eV    1.400E+00  1.949E+01       2 A         1 A         1 A   
4.49999 eV    1.485E+00  2.089E+01       2 A         2 A         1 A   
4.99999 eV    1.565E+00  2.222E+01       2 A         2 A         1 A   
5.49999 eV    1.641E+00  2.348E+01       2 A         2 A         1 A   
5.99999 eV    1.714E+00  2.469E+01       2 A         2 A         1 A   
6.49999 eV    1.784E+00  2.585E+01       2 A         2 A         1 A   
6.99999 eV    1.852E+00  2.696E+01       2 A         2 A         1 A   
7.99999 eV    1.980E+00  2.908E+01       2 A         2 A         2 A   
8.99999 eV    2.100E+00  3.106E+01       3 A         2 A         2 A   
9.99999 eV    2.213E+00  3.294E+01       3 A         2 A         2 A   
10.9999 eV    2.321E+00  3.471E+01       3 A         2 A         2 A   
11.9999 eV    2.424E+00  3.641E+01       3 A         2 A         2 A   
