# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 7.667000000000000481e-01 8.843999999999999417e+00 1.000000000000000048e-04
1.199999999999999895e-03 7.667000000000000481e-01 9.342999999999999972e+00 1.000000000000000048e-04
1.300000000000000157e-03 7.980000000000000426e-01 9.826000000000000512e+00 1.000000000000000048e-04
1.399999999999999986e-03 8.280999999999999472e-01 1.028999999999999915e+01 1.000000000000000048e-04
1.500000000000000031e-03 8.570999999999999730e-01 1.075000000000000000e+01 1.000000000000000048e-04
1.600000000000000077e-03 8.852999999999999758e-01 1.118999999999999950e+01 1.000000000000000048e-04
1.699999999999999905e-03 9.124999999999999778e-01 1.160999999999999943e+01 1.000000000000000048e-04
1.800000000000000168e-03 9.389999999999999458e-01 1.202999999999999936e+01 1.000000000000000048e-04
2.000000000000000042e-03 9.898000000000000131e-01 1.283999999999999986e+01 1.000000000000000048e-04
2.250000000000000264e-03 1.050000000000000044e+00 1.380000000000000071e+01 1.000000000000000048e-04
2.499990000000000111e-03 1.106999999999999984e+00 1.471000000000000085e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.161000000000000032e+00 1.558999999999999986e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.211999999999999966e+00 1.642000000000000171e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.262000000000000011e+00 1.723000000000000043e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.308999999999999941e+00 1.801000000000000156e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.354999999999999982e+00 1.876000000000000156e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.399999999999999911e+00 1.948999999999999844e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.485000000000000098e+00 2.089000000000000057e+01 2.000000000000000096e-04
4.999990000000000163e-03 1.564999999999999947e+00 2.221999999999999886e+01 2.000000000000000096e-04
5.499990000000000608e-03 1.641000000000000014e+00 2.348000000000000043e+01 2.000000000000000096e-04
5.999990000000000184e-03 1.713999999999999968e+00 2.469000000000000128e+01 2.000000000000000096e-04
6.499990000000000628e-03 1.784000000000000030e+00 2.585000000000000142e+01 2.000000000000000096e-04
6.999990000000000205e-03 1.852000000000000091e+00 2.696000000000000085e+01 2.000000000000000096e-04
7.999990000000000226e-03 1.979999999999999982e+00 2.907999999999999829e+01 2.000000000000000096e-04
8.999990000000001114e-03 2.100000000000000089e+00 3.105999999999999872e+01 3.000000000000000279e-04
9.999990000000000268e-03 2.213000000000000078e+00 3.293999999999999773e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.321000000000000174e+00 3.471000000000000085e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.423999999999999932e+00 3.640999999999999659e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.523000000000000131e+00 3.802000000000000313e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.619000000000000217e+00 3.957999999999999829e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.710999999999999854e+00 4.107000000000000028e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.798999999999999932e+00 4.250999999999999801e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.886000000000000121e+00 4.389000000000000057e+01 3.000000000000000279e-04
1.799989999999999923e-02 2.968999999999999861e+00 4.524000000000000199e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.129999999999999893e+00 4.779999999999999716e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.319999999999999840e+00 5.079999999999999716e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.499000000000000110e+00 5.360999999999999943e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.669999999999999929e+00 5.625999999999999801e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.833000000000000185e+00 5.875999999999999801e+01 4.000000000000000192e-04
3.249989999999999823e-02 3.990000000000000213e+00 6.114000000000000057e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.141000000000000014e+00 6.340999999999999659e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.285999999999999588e+00 6.557999999999999829e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.426000000000000156e+00 6.765000000000000568e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.695000000000000284e+00 7.156999999999999318e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.948999999999999844e+00 7.520999999999999375e+01 6.000000000000000559e-04
5.499989999999999740e-02 5.190000000000000391e+00 7.860999999999999943e+01 6.000000000000000559e-04
5.999989999999999490e-02 5.421000000000000263e+00 8.181000000000000227e+01 6.000000000000000559e-04
6.499989999999999934e-02 5.642999999999999794e+00 8.482999999999999829e+01 6.000000000000000559e-04
6.999990000000000379e-02 5.855999999999999872e+00 8.768999999999999773e+01 6.999999999999999929e-04
7.999989999999999879e-02 6.259999999999999787e+00 9.301000000000000512e+01 6.999999999999999929e-04
8.999989999999999379e-02 6.639999999999999680e+00 9.785999999999999943e+01 8.000000000000000383e-04
9.999990000000000268e-02 6.998999999999999666e+00 1.022999999999999972e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.339999999999999858e+00 1.065000000000000000e+02 9.000000000000000838e-04
1.199999999999999956e-01 7.666999999999999815e+00 1.102999999999999972e+02 9.000000000000000838e-04
1.300000000000000044e-01 7.980000000000000426e+00 1.139000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.281000000000000583e+00 1.174000000000000057e+02 1.000000000000000021e-03
