        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.369E-01  1.051E+01       1 A         1 A           A   
    1.2 eV    8.369E-01  1.113E+01       1 A         1 A           A   
    1.3 eV    8.710E-01  1.173E+01       1 A         1 A         1 A   
    1.4 eV    9.039E-01  1.231E+01       1 A         1 A         1 A   
    1.5 eV    9.356E-01  1.288E+01       1 A         1 A         1 A   
    1.6 eV    9.663E-01  1.343E+01       1 A         1 A         1 A   
    1.7 eV    9.961E-01  1.396E+01       1 A         1 A         1 A   
    1.8 eV    1.025E+00  1.449E+01       1 A         1 A         1 A   
      2 eV    1.080E+00  1.550E+01       2 A         1 A         1 A   
   2.25 eV    1.146E+00  1.672E+01       2 A         1 A         1 A   
2.49999 eV    1.208E+00  1.788E+01       2 A         1 A         1 A   
2.74999 eV    1.267E+00  1.899E+01       2 A         1 A         1 A   
2.99999 eV    1.323E+00  2.006E+01       2 A         1 A         1 A   
3.24999 eV    1.377E+00  2.110E+01       2 A         1 A         1 A   
3.49999 eV    1.429E+00  2.210E+01       2 A         1 A         1 A   
3.74999 eV    1.479E+00  2.308E+01       2 A         1 A         1 A   
3.99999 eV    1.528E+00  2.402E+01       2 A         1 A         1 A   
4.49999 eV    1.621E+00  2.584E+01       2 A         1 A         1 A   
4.99999 eV    1.708E+00  2.757E+01       2 A         1 A         1 A   
5.49999 eV    1.792E+00  2.923E+01       2 A         1 A         1 A   
5.99999 eV    1.871E+00  3.083E+01       2 A         1 A         1 A   
6.49999 eV    1.948E+00  3.236E+01       2 A         2 A         1 A   
6.99999 eV    2.021E+00  3.385E+01       3 A         2 A         1 A   
7.99999 eV    2.161E+00  3.667E+01       3 A         2 A         1 A   
8.99999 eV    2.292E+00  3.934E+01       3 A         2 A         1 A   
9.99999 eV    2.416E+00  4.188E+01       3 A         2 A         1 A   
10.9999 eV    2.534E+00  4.430E+01       3 A         2 A         1 A   
11.9999 eV    2.646E+00  4.661E+01       3 A         2 A         2 A   
