# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 8.368999999999999773e-01 1.050999999999999979e+01 1.000000000000000048e-04
1.199999999999999895e-03 8.368999999999999773e-01 1.113000000000000078e+01 1.000000000000000048e-04
1.300000000000000157e-03 8.709999999999999964e-01 1.173000000000000043e+01 1.000000000000000048e-04
1.399999999999999986e-03 9.039000000000000368e-01 1.231000000000000050e+01 1.000000000000000048e-04
1.500000000000000031e-03 9.355999999999999872e-01 1.288000000000000078e+01 1.000000000000000048e-04
1.600000000000000077e-03 9.663000000000000478e-01 1.342999999999999972e+01 1.000000000000000048e-04
1.699999999999999905e-03 9.960999999999999854e-01 1.396000000000000085e+01 1.000000000000000048e-04
1.800000000000000168e-03 1.024999999999999911e+00 1.449000000000000021e+01 1.000000000000000048e-04
2.000000000000000042e-03 1.080000000000000071e+00 1.550000000000000000e+01 2.000000000000000096e-04
2.250000000000000264e-03 1.145999999999999908e+00 1.671999999999999886e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.207999999999999963e+00 1.787999999999999901e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.266999999999999904e+00 1.898999999999999844e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.322999999999999954e+00 2.005999999999999872e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.377000000000000002e+00 2.110000000000000142e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.429000000000000048e+00 2.210000000000000142e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.479000000000000092e+00 2.307999999999999829e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.528000000000000025e+00 2.401999999999999957e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.620999999999999996e+00 2.583999999999999986e+01 2.000000000000000096e-04
4.999990000000000163e-03 1.707999999999999963e+00 2.757000000000000028e+01 2.000000000000000096e-04
5.499990000000000608e-03 1.792000000000000037e+00 2.923000000000000043e+01 2.000000000000000096e-04
5.999990000000000184e-03 1.870999999999999996e+00 3.082999999999999829e+01 2.000000000000000096e-04
6.499990000000000628e-03 1.947999999999999954e+00 3.235999999999999943e+01 2.000000000000000096e-04
6.999990000000000205e-03 2.020999999999999908e+00 3.385000000000000142e+01 3.000000000000000279e-04
7.999990000000000226e-03 2.161000000000000032e+00 3.667000000000000171e+01 3.000000000000000279e-04
8.999990000000001114e-03 2.291999999999999815e+00 3.934000000000000341e+01 3.000000000000000279e-04
9.999990000000000268e-03 2.415999999999999925e+00 4.188000000000000256e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.533999999999999808e+00 4.429999999999999716e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.645999999999999908e+00 4.660999999999999943e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.754000000000000004e+00 4.884000000000000341e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.858000000000000096e+00 5.097999999999999687e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.959000000000000075e+00 5.304999999999999716e+01 3.000000000000000279e-04
1.599990000000000093e-02 3.056000000000000050e+00 5.506000000000000227e+01 4.000000000000000192e-04
1.699990000000000182e-02 3.149999999999999911e+00 5.700000000000000000e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.241000000000000103e+00 5.888000000000000256e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.416999999999999815e+00 6.250000000000000000e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.624000000000000110e+00 6.676999999999999602e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.819999999999999840e+00 7.079999999999999716e+01 4.000000000000000192e-04
2.749990000000000073e-02 4.006000000000000227e+00 7.462000000000000455e+01 4.000000000000000192e-04
2.999989999999999948e-02 4.184000000000000163e+00 7.826999999999999602e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.355000000000000426e+00 8.175000000000000000e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.519999999999999574e+00 8.509000000000000341e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.677999999999999936e+00 8.829999999999999716e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.831999999999999851e+00 9.140000000000000568e+01 5.000000000000000104e-04
4.499989999999999546e-02 5.125000000000000000e+00 9.726999999999999602e+01 5.000000000000000104e-04
4.999989999999999990e-02 5.402000000000000135e+00 1.027999999999999972e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.666000000000000369e+00 1.080000000000000000e+02 6.000000000000000559e-04
5.999989999999999490e-02 5.918000000000000149e+00 1.129000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 6.158999999999999808e+00 1.175999999999999943e+02 6.000000000000000559e-04
6.999990000000000379e-02 6.392000000000000348e+00 1.220999999999999943e+02 6.999999999999999929e-04
7.999989999999999879e-02 6.833000000000000185e+00 1.305000000000000000e+02 6.999999999999999929e-04
8.999989999999999379e-02 7.248000000000000220e+00 1.383000000000000114e+02 6.999999999999999929e-04
9.999990000000000268e-02 7.639999999999999680e+00 1.455999999999999943e+02 8.000000000000000383e-04
1.100000000000000006e-01 8.012999999999999901e+00 1.524000000000000057e+02 8.000000000000000383e-04
1.199999999999999956e-01 8.368999999999999773e+00 1.588000000000000114e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.711000000000000298e+00 1.648000000000000114e+02 9.000000000000000838e-04
1.399989999999999846e-01 9.038999999999999702e+00 1.705999999999999943e+02 9.000000000000000838e-04
1.499989999999999934e-01 9.356999999999999318e+00 1.760999999999999943e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.663999999999999702e+00 1.813000000000000114e+02 1.000000000000000021e-03
1.699990000000000112e-01 9.961000000000000298e+00 1.863000000000000114e+02 1.000000000000000021e-03
1.799989999999999923e-01 1.025000000000000000e+01 1.910999999999999943e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.080000000000000071e+01 2.001999999999999886e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.146000000000000085e+01 2.106999999999999886e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.208000000000000007e+01 2.203000000000000114e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.266999999999999993e+01 2.293000000000000114e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.323000000000000043e+01 2.375999999999999943e+02 1.399999999999999986e-03
3.249990000000000379e-01 1.376999999999999957e+01 2.454000000000000057e+02 1.399999999999999986e-03
3.499990000000000046e-01 1.428999999999999915e+01 2.528000000000000114e+02 1.500000000000000031e-03
3.749990000000000268e-01 1.478999999999999915e+01 2.596999999999999886e+02 1.500000000000000031e-03
3.999990000000000490e-01 1.527999999999999936e+01 2.663000000000000114e+02 1.600000000000000077e-03
4.499990000000000379e-01 1.621000000000000085e+01 2.783999999999999773e+02 1.700000000000000122e-03
4.999990000000000268e-01 1.707999999999999829e+01 2.895000000000000000e+02 1.800000000000000168e-03
5.499990000000000157e-01 1.792000000000000171e+01 2.996999999999999886e+02 1.899999999999999996e-03
5.999990000000000601e-01 1.871000000000000085e+01 3.091000000000000227e+02 2.000000000000000042e-03
6.499989999999999934e-01 1.948000000000000043e+01 3.178000000000000114e+02 2.100000000000000304e-03
6.999990000000000379e-01 2.021000000000000085e+01 3.260000000000000000e+02 2.200000000000000133e-03
7.999990000000000157e-01 2.160999999999999943e+01 3.406999999999999886e+02 2.400000000000000223e-03
8.999989999999999934e-01 2.292000000000000171e+01 3.538000000000000114e+02 2.500000000000000052e-03
9.999990000000000823e-01 2.416000000000000014e+01 3.656000000000000227e+02 2.700000000000000143e-03
1.100000000000000089e+00 2.533999999999999986e+01 3.761999999999999886e+02 2.900000000000000234e-03
1.199999999999999956e+00 2.646999999999999886e+01 3.858999999999999773e+02 3.000000000000000062e-03
1.300000000000000044e+00 2.755000000000000071e+01 3.948000000000000114e+02 3.200000000000000153e-03
1.399999999999999911e+00 2.858999999999999986e+01 4.028999999999999773e+02 3.299999999999999982e-03
1.500000000000000000e+00 2.958999999999999986e+01 4.105000000000000000e+02 3.500000000000000073e-03
1.600000000000000089e+00 3.055999999999999872e+01 4.175000000000000000e+02 3.600000000000000335e-03
1.699999999999999956e+00 3.150000000000000000e+01 4.241000000000000227e+02 3.799999999999999992e-03
