  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.357E-01  2.451E+00       1 A         2 A         1 A   
    1.2 eV    7.357E-01  2.543E+00       1 A         2 A         1 A   
    1.3 eV    7.657E-01  2.629E+00       1 A         2 A         1 A   
    1.4 eV    7.946E-01  2.710E+00       1 A         2 A         1 A   
    1.5 eV    8.225E-01  2.787E+00       2 A         2 A         1 A   
    1.6 eV    8.495E-01  2.861E+00       2 A         2 A         1 A   
    1.7 eV    8.756E-01  2.930E+00       2 A         2 A         1 A   
    1.8 eV    9.010E-01  2.997E+00       2 A         2 A         1 A   
      2 eV    9.497E-01  3.121E+00       2 A         2 A         2 A   
   2.25 eV    1.007E+00  3.263E+00       2 A         2 A         2 A   
2.49999 eV    1.062E+00  3.392E+00       2 A         3 A         2 A   
2.74999 eV    1.114E+00  3.511E+00       2 A         3 A         2 A   
2.99999 eV    1.163E+00  3.620E+00       3 A         3 A         2 A   
3.24999 eV    1.211E+00  3.722E+00       3 A         3 A         2 A   
3.49999 eV    1.256E+00  3.817E+00       3 A         3 A         2 A   
3.74999 eV    1.300E+00  3.906E+00       3 A         3 A         2 A   
3.99999 eV    1.343E+00  3.990E+00       3 A         4 A         3 A   
4.49999 eV    1.425E+00  4.144E+00       3 A         4 A         3 A   
4.99999 eV    1.502E+00  4.282E+00       3 A         4 A         3 A   
5.49999 eV    1.575E+00  4.407E+00       4 A         4 A         3 A   
5.99999 eV    1.645E+00  4.521E+00       4 A         5 A         3 A   
6.49999 eV    1.712E+00  4.626E+00       4 A         5 A         4 A   
6.99999 eV    1.777E+00  4.723E+00       4 A         5 A         4 A   
7.99999 eV    1.899E+00  4.896E+00       5 A         6 A         4 A   
8.99999 eV    2.015E+00  5.047E+00       5 A         6 A         4 A   
9.99999 eV    2.124E+00  5.179E+00       5 A         6 A         5 A   
10.9999 eV    2.227E+00  5.298E+00       6 A         7 A         5 A   
11.9999 eV    2.326E+00  5.404E+00       6 A         7 A         5 A   
