# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 7.357000000000000206e-01 2.451000000000000068e+00 1.000000000000000048e-04
1.199999999999999895e-03 7.357000000000000206e-01 2.543000000000000149e+00 1.000000000000000048e-04
1.300000000000000157e-03 7.657000000000000473e-01 2.629000000000000004e+00 1.000000000000000048e-04
1.399999999999999986e-03 7.945999999999999730e-01 2.709999999999999964e+00 1.000000000000000048e-04
1.500000000000000031e-03 8.225000000000000089e-01 2.786999999999999922e+00 2.000000000000000096e-04
1.600000000000000077e-03 8.495000000000000329e-01 2.861000000000000210e+00 2.000000000000000096e-04
1.699999999999999905e-03 8.756000000000000449e-01 2.930000000000000160e+00 2.000000000000000096e-04
1.800000000000000168e-03 9.010000000000000231e-01 2.996999999999999886e+00 2.000000000000000096e-04
2.000000000000000042e-03 9.496999999999999886e-01 3.120999999999999996e+00 2.000000000000000096e-04
2.250000000000000264e-03 1.006999999999999895e+00 3.262999999999999901e+00 2.000000000000000096e-04
2.499990000000000111e-03 1.062000000000000055e+00 3.391999999999999904e+00 2.000000000000000096e-04
2.749989999999999900e-03 1.114000000000000101e+00 3.511000000000000121e+00 2.000000000000000096e-04
2.999990000000000122e-03 1.163000000000000034e+00 3.620000000000000107e+00 3.000000000000000279e-04
3.249989999999999910e-03 1.211000000000000076e+00 3.721999999999999975e+00 3.000000000000000279e-04
3.499990000000000132e-03 1.256000000000000005e+00 3.817000000000000171e+00 3.000000000000000279e-04
3.749989999999999921e-03 1.300000000000000044e+00 3.906000000000000139e+00 3.000000000000000279e-04
3.999990000000000143e-03 1.342999999999999972e+00 3.990000000000000213e+00 3.000000000000000279e-04
4.499990000000000587e-03 1.425000000000000044e+00 4.144000000000000128e+00 3.000000000000000279e-04
4.999990000000000163e-03 1.502000000000000002e+00 4.282000000000000028e+00 3.000000000000000279e-04
5.499990000000000608e-03 1.574999999999999956e+00 4.407000000000000028e+00 4.000000000000000192e-04
5.999990000000000184e-03 1.645000000000000018e+00 4.520999999999999908e+00 4.000000000000000192e-04
6.499990000000000628e-03 1.711999999999999966e+00 4.626000000000000334e+00 4.000000000000000192e-04
6.999990000000000205e-03 1.776999999999999913e+00 4.722999999999999865e+00 4.000000000000000192e-04
7.999990000000000226e-03 1.899000000000000021e+00 4.895999999999999908e+00 5.000000000000000104e-04
8.999990000000001114e-03 2.015000000000000124e+00 5.046999999999999709e+00 5.000000000000000104e-04
9.999990000000000268e-03 2.124000000000000110e+00 5.179000000000000270e+00 5.000000000000000104e-04
1.099989999999999996e-02 2.226999999999999869e+00 5.298000000000000043e+00 6.000000000000000559e-04
1.199990000000000084e-02 2.326000000000000068e+00 5.403999999999999915e+00 6.000000000000000559e-04
1.299990000000000000e-02 2.420999999999999819e+00 5.498999999999999666e+00 6.000000000000000559e-04
1.399990000000000089e-02 2.512999999999999901e+00 5.586000000000000298e+00 6.999999999999999929e-04
1.499990000000000004e-02 2.600999999999999979e+00 5.665000000000000036e+00 6.999999999999999929e-04
1.599990000000000093e-02 2.685999999999999943e+00 5.737000000000000099e+00 6.999999999999999929e-04
1.699990000000000182e-02 2.769000000000000128e+00 5.802999999999999936e+00 6.999999999999999929e-04
1.799989999999999923e-02 2.849000000000000199e+00 5.863999999999999879e+00 8.000000000000000383e-04
1.999990000000000101e-02 3.003000000000000114e+00 5.972000000000000419e+00 8.000000000000000383e-04
2.249989999999999976e-02 3.185999999999999943e+00 6.086999999999999744e+00 9.000000000000000838e-04
2.499990000000000198e-02 3.358000000000000096e+00 6.182000000000000384e+00 1.000000000000000021e-03
2.749990000000000073e-02 3.521999999999999797e+00 6.262999999999999901e+00 1.000000000000000021e-03
2.999989999999999948e-02 3.677999999999999936e+00 6.331000000000000405e+00 1.100000000000000066e-03
3.249989999999999823e-02 3.829000000000000181e+00 6.389000000000000234e+00 1.200000000000000112e-03
