  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.796E-01  8.314E+00       2 A         1 A           A   
    1.2 eV    4.796E-01  8.795E+00       2 A         1 A         1 A   
    1.3 eV    4.992E-01  9.261E+00       2 A         1 A         1 A   
    1.4 eV    5.180E-01  9.713E+00       2 A         1 A         1 A   
    1.5 eV    5.362E-01  1.015E+01       2 A         1 A         1 A   
    1.6 eV    5.538E-01  1.058E+01       2 A         1 A         1 A   
    1.7 eV    5.708E-01  1.100E+01       2 A         1 A         1 A   
    1.8 eV    5.874E-01  1.140E+01       2 A         1 A         1 A   
      2 eV    6.192E-01  1.219E+01       2 A         1 A         1 A   
   2.25 eV    6.567E-01  1.313E+01       2 A         1 A         1 A   
2.49999 eV    6.922E-01  1.403E+01       3 A         1 A         1 A   
2.74999 eV    7.260E-01  1.489E+01       3 A         1 A         1 A   
2.99999 eV    7.583E-01  1.571E+01       3 A         1 A         1 A   
3.24999 eV    7.893E-01  1.651E+01       3 A         1 A         1 A   
3.49999 eV    8.191E-01  1.728E+01       3 A         2 A         1 A   
3.74999 eV    8.478E-01  1.803E+01       3 A         2 A         1 A   
3.99999 eV    8.756E-01  1.876E+01       3 A         2 A         1 A   
4.49999 eV    9.287E-01  2.015E+01       3 A         2 A         1 A   
4.99999 eV    9.790E-01  2.148E+01       3 A         2 A         1 A   
5.49999 eV    1.027E+00  2.274E+01       3 A         2 A         1 A   
5.99999 eV    1.072E+00  2.396E+01       3 A         2 A         1 A   
6.49999 eV    1.116E+00  2.513E+01       4 A         2 A         2 A   
6.99999 eV    1.158E+00  2.626E+01       4 A         2 A         2 A   
7.99999 eV    1.238E+00  2.840E+01       4 A         2 A         2 A   
8.99999 eV    1.313E+00  3.043E+01       4 A         2 A         2 A   
9.99999 eV    1.384E+00  3.234E+01       4 A         2 A         2 A   
10.9999 eV    1.452E+00  3.417E+01       4 A         3 A         2 A   
11.9999 eV    1.517E+00  3.591E+01       5 A         3 A         2 A   
