  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.079E-01  7.880E+00       2 A         1 A         1 A   
    1.2 eV    8.079E-01  8.322E+00       2 A         1 A         1 A   
    1.3 eV    8.409E-01  8.749E+00       2 A         1 A         1 A   
    1.4 eV    8.727E-01  9.161E+00       2 A         1 A         1 A   
    1.5 eV    9.033E-01  9.562E+00       2 A         1 A         1 A   
    1.6 eV    9.329E-01  9.951E+00       2 A         1 A         1 A   
    1.7 eV    9.616E-01  1.033E+01       2 A         1 A         1 A   
    1.8 eV    9.895E-01  1.070E+01       2 A         1 A         1 A   
      2 eV    1.043E+00  1.141E+01       2 A         1 A         1 A   
   2.25 eV    1.106E+00  1.226E+01       2 A         1 A         1 A   
2.49999 eV    1.166E+00  1.306E+01       2 A         1 A         1 A   
2.74999 eV    1.223E+00  1.383E+01       2 A         1 A         1 A   
2.99999 eV    1.277E+00  1.457E+01       2 A         1 A         1 A   
3.24999 eV    1.330E+00  1.528E+01       2 A         2 A         1 A   
3.49999 eV    1.380E+00  1.596E+01       3 A         2 A         1 A   
3.74999 eV    1.428E+00  1.663E+01       3 A         2 A         1 A   
3.99999 eV    1.475E+00  1.727E+01       3 A         2 A         1 A   
4.49999 eV    1.565E+00  1.850E+01       3 A         2 A         1 A   
4.99999 eV    1.649E+00  1.966E+01       3 A         2 A         1 A   
5.49999 eV    1.730E+00  2.077E+01       3 A         2 A         1 A   
5.99999 eV    1.807E+00  2.182E+01       3 A         2 A         2 A   
6.49999 eV    1.880E+00  2.284E+01       3 A         2 A         2 A   
6.99999 eV    1.951E+00  2.382E+01       3 A         2 A         2 A   
7.99999 eV    2.086E+00  2.566E+01       4 A         2 A         2 A   
8.99999 eV    2.213E+00  2.740E+01       4 A         2 A         2 A   
9.99999 eV    2.332E+00  2.903E+01       4 A         3 A         2 A   
10.9999 eV    2.446E+00  3.058E+01       4 A         3 A         2 A   
11.9999 eV    2.555E+00  3.205E+01       4 A         3 A         2 A   
