  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.806E-01  8.339E+00       2 A         1 A           A   
    1.2 eV    8.806E-01  8.832E+00       2 A         1 A           A   
    1.3 eV    9.166E-01  9.311E+00       2 A         1 A           A   
    1.4 eV    9.512E-01  9.775E+00       2 A         1 A         1 A   
    1.5 eV    9.846E-01  1.023E+01       2 A         1 A         1 A   
    1.6 eV    1.017E+00  1.067E+01       2 A         1 A         1 A   
    1.7 eV    1.048E+00  1.110E+01       2 A         1 A         1 A   
    1.8 eV    1.079E+00  1.152E+01       2 A         1 A         1 A   
      2 eV    1.137E+00  1.233E+01       2 A         1 A         1 A   
   2.25 eV    1.206E+00  1.330E+01       3 A         1 A         1 A   
2.49999 eV    1.271E+00  1.424E+01       3 A         1 A         1 A   
2.74999 eV    1.333E+00  1.513E+01       3 A         1 A         1 A   
2.99999 eV    1.392E+00  1.599E+01       3 A         1 A         1 A   
3.24999 eV    1.449E+00  1.682E+01       3 A         1 A         1 A   
3.49999 eV    1.504E+00  1.763E+01       3 A         1 A         1 A   
3.74999 eV    1.557E+00  1.841E+01       3 A         1 A         1 A   
3.99999 eV    1.608E+00  1.917E+01       3 A         1 A         1 A   
4.49999 eV    1.705E+00  2.064E+01       3 A         2 A         1 A   
4.99999 eV    1.798E+00  2.204E+01       3 A         2 A         1 A   
5.49999 eV    1.885E+00  2.338E+01       4 A         2 A         1 A   
5.99999 eV    1.969E+00  2.466E+01       4 A         2 A         1 A   
6.49999 eV    2.050E+00  2.590E+01       4 A         2 A         1 A   
6.99999 eV    2.127E+00  2.710E+01       4 A         2 A         1 A   
7.99999 eV    2.274E+00  2.939E+01       4 A         2 A         2 A   
8.99999 eV    2.412E+00  3.155E+01       4 A         2 A         2 A   
9.99999 eV    2.542E+00  3.361E+01       4 A         2 A         2 A   
10.9999 eV    2.666E+00  3.557E+01       5 A         2 A         2 A   
11.9999 eV    2.785E+00  3.745E+01       5 A         2 A         2 A   
