        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.263E-01  1.035E+01       1 A         1 A           A   
    1.2 eV    8.263E-01  1.095E+01       1 A         1 A         1 A   
    1.3 eV    8.601E-01  1.154E+01       1 A         1 A         1 A   
    1.4 eV    8.926E-01  1.211E+01       1 A         1 A         1 A   
    1.5 eV    9.239E-01  1.266E+01       1 A         1 A         1 A   
    1.6 eV    9.542E-01  1.320E+01       1 A         1 A         1 A   
    1.7 eV    9.835E-01  1.372E+01       1 A         1 A         1 A   
    1.8 eV    1.012E+00  1.424E+01       1 A         1 A         1 A   
      2 eV    1.067E+00  1.523E+01       2 A         1 A         1 A   
   2.25 eV    1.132E+00  1.642E+01       2 A         1 A         1 A   
2.49999 eV    1.193E+00  1.755E+01       2 A         1 A         1 A   
2.74999 eV    1.251E+00  1.864E+01       2 A         1 A         1 A   
2.99999 eV    1.307E+00  1.969E+01       2 A         1 A         1 A   
3.24999 eV    1.360E+00  2.070E+01       2 A         1 A         1 A   
3.49999 eV    1.411E+00  2.168E+01       2 A         1 A         1 A   
3.74999 eV    1.461E+00  2.263E+01       2 A         1 A         1 A   
3.99999 eV    1.509E+00  2.355E+01       2 A         1 A         1 A   
4.49999 eV    1.600E+00  2.532E+01       2 A         1 A         1 A   
4.99999 eV    1.687E+00  2.701E+01       2 A         1 A         1 A   
5.49999 eV    1.769E+00  2.863E+01       2 A         1 A         1 A   
5.99999 eV    1.848E+00  3.018E+01       2 A         2 A         1 A   
6.49999 eV    1.923E+00  3.167E+01       2 A         2 A         1 A   
6.99999 eV    1.996E+00  3.312E+01       3 A         2 A         1 A   
7.99999 eV    2.134E+00  3.587E+01       3 A         2 A         1 A   
8.99999 eV    2.263E+00  3.846E+01       3 A         2 A         1 A   
9.99999 eV    2.385E+00  4.092E+01       3 A         2 A         1 A   
10.9999 eV    2.502E+00  4.327E+01       3 A         2 A         1 A   
11.9999 eV    2.613E+00  4.551E+01       3 A         2 A         2 A   
