# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 8.263000000000000345e-01 1.034999999999999964e+01 1.000000000000000048e-04
1.199999999999999895e-03 8.263000000000000345e-01 1.094999999999999929e+01 1.000000000000000048e-04
1.300000000000000157e-03 8.600999999999999757e-01 1.153999999999999915e+01 1.000000000000000048e-04
1.399999999999999986e-03 8.925999999999999490e-01 1.210999999999999943e+01 1.000000000000000048e-04
1.500000000000000031e-03 9.239000000000000545e-01 1.266000000000000014e+01 1.000000000000000048e-04
1.600000000000000077e-03 9.542000000000000481e-01 1.319999999999999929e+01 1.000000000000000048e-04
1.699999999999999905e-03 9.835000000000000409e-01 1.372000000000000064e+01 1.000000000000000048e-04
1.800000000000000168e-03 1.012000000000000011e+00 1.424000000000000021e+01 1.000000000000000048e-04
2.000000000000000042e-03 1.066999999999999948e+00 1.523000000000000043e+01 2.000000000000000096e-04
2.250000000000000264e-03 1.131999999999999895e+00 1.642000000000000171e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.193000000000000060e+00 1.755000000000000071e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.250999999999999890e+00 1.864000000000000057e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.306999999999999940e+00 1.969000000000000128e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.360000000000000098e+00 2.069999999999999929e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.411000000000000032e+00 2.167999999999999972e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.461000000000000076e+00 2.262999999999999901e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.508999999999999897e+00 2.355000000000000071e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.600000000000000089e+00 2.532000000000000028e+01 2.000000000000000096e-04
4.999990000000000163e-03 1.687000000000000055e+00 2.701000000000000156e+01 2.000000000000000096e-04
5.499990000000000608e-03 1.768999999999999906e+00 2.862999999999999901e+01 2.000000000000000096e-04
5.999990000000000184e-03 1.848000000000000087e+00 3.017999999999999972e+01 2.000000000000000096e-04
6.499990000000000628e-03 1.923000000000000043e+00 3.167000000000000171e+01 2.000000000000000096e-04
6.999990000000000205e-03 1.995999999999999996e+00 3.311999999999999744e+01 3.000000000000000279e-04
7.999990000000000226e-03 2.133999999999999897e+00 3.586999999999999744e+01 3.000000000000000279e-04
8.999990000000001114e-03 2.262999999999999901e+00 3.846000000000000085e+01 3.000000000000000279e-04
9.999990000000000268e-03 2.384999999999999787e+00 4.092000000000000171e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.501999999999999780e+00 4.327000000000000313e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.612999999999999989e+00 4.550999999999999801e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.720000000000000195e+00 4.767000000000000171e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.822000000000000064e+00 4.975000000000000000e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.922000000000000153e+00 5.175000000000000000e+01 3.000000000000000279e-04
1.599990000000000093e-02 3.016999999999999904e+00 5.368999999999999773e+01 4.000000000000000192e-04
1.699990000000000182e-02 3.109999999999999876e+00 5.557000000000000028e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.200000000000000178e+00 5.739000000000000057e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.374000000000000110e+00 6.089000000000000057e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.577999999999999847e+00 6.501000000000000512e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.771999999999999797e+00 6.890000000000000568e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.955999999999999961e+00 7.259000000000000341e+01 4.000000000000000192e-04
