       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.868E-01  9.353E+00       1 A         1 A         1 A   
    1.2 eV    9.868E-01  9.886E+00       1 A         1 A         1 A   
    1.3 eV    1.027E+00  1.040E+01       1 A         1 A         1 A   
    1.4 eV    1.066E+00  1.090E+01       1 A         1 A         1 A   
    1.5 eV    1.103E+00  1.139E+01       1 A         1 A         1 A   
    1.6 eV    1.139E+00  1.186E+01       1 A         1 A         1 A   
    1.7 eV    1.175E+00  1.232E+01       1 A         1 A         1 A   
    1.8 eV    1.209E+00  1.276E+01       1 A         1 A         1 A   
      2 eV    1.274E+00  1.363E+01       1 A         1 A         1 A   
   2.25 eV    1.351E+00  1.466E+01       2 A         1 A         1 A   
2.49999 eV    1.424E+00  1.564E+01       2 A         1 A         1 A   
2.74999 eV    1.494E+00  1.658E+01       2 A         1 A         1 A   
2.99999 eV    1.560E+00  1.749E+01       2 A         1 A         1 A   
3.24999 eV    1.624E+00  1.836E+01       2 A         1 A         1 A   
3.49999 eV    1.685E+00  1.920E+01       2 A         1 A         1 A   
3.74999 eV    1.744E+00  2.001E+01       2 A         1 A         1 A   
3.99999 eV    1.802E+00  2.080E+01       2 A         1 A         1 A   
4.49999 eV    1.911E+00  2.231E+01       2 A         1 A         1 A   
4.99999 eV    2.014E+00  2.375E+01       2 A         2 A         1 A   
5.49999 eV    2.113E+00  2.512E+01       2 A         2 A         1 A   
5.99999 eV    2.207E+00  2.643E+01       2 A         2 A         1 A   
6.49999 eV    2.297E+00  2.769E+01       2 A         2 A         1 A   
6.99999 eV    2.383E+00  2.890E+01       2 A         2 A         1 A   
7.99999 eV    2.548E+00  3.121E+01       3 A         2 A         1 A   
8.99999 eV    2.702E+00  3.337E+01       3 A         2 A         1 A   
9.99999 eV    2.849E+00  3.542E+01       3 A         2 A         2 A   
10.9999 eV    2.988E+00  3.736E+01       3 A         2 A         2 A   
11.9999 eV    3.120E+00  3.922E+01       3 A         2 A         2 A   
