# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 9.868000000000000105e-01 9.352999999999999758e+00 1.000000000000000048e-04
1.199999999999999895e-03 9.868000000000000105e-01 9.885999999999999233e+00 1.000000000000000048e-04
1.300000000000000157e-03 1.026999999999999913e+00 1.040000000000000036e+01 1.000000000000000048e-04
1.399999999999999986e-03 1.066000000000000059e+00 1.090000000000000036e+01 1.000000000000000048e-04
1.500000000000000031e-03 1.102999999999999980e+00 1.139000000000000057e+01 1.000000000000000048e-04
1.600000000000000077e-03 1.139000000000000012e+00 1.185999999999999943e+01 1.000000000000000048e-04
1.699999999999999905e-03 1.175000000000000044e+00 1.232000000000000028e+01 1.000000000000000048e-04
1.800000000000000168e-03 1.209000000000000075e+00 1.275999999999999979e+01 1.000000000000000048e-04
2.000000000000000042e-03 1.274000000000000021e+00 1.363000000000000078e+01 1.000000000000000048e-04
2.250000000000000264e-03 1.350999999999999979e+00 1.466000000000000014e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.423999999999999932e+00 1.564000000000000057e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.493999999999999995e+00 1.657999999999999829e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.560000000000000053e+00 1.748999999999999844e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.624000000000000110e+00 1.835999999999999943e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.685000000000000053e+00 1.919999999999999929e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.743999999999999995e+00 2.001000000000000156e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.802000000000000046e+00 2.080000000000000071e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.911000000000000032e+00 2.230999999999999872e+01 2.000000000000000096e-04
4.999990000000000163e-03 2.013999999999999790e+00 2.375000000000000000e+01 2.000000000000000096e-04
5.499990000000000608e-03 2.112999999999999989e+00 2.512000000000000099e+01 2.000000000000000096e-04
5.999990000000000184e-03 2.206999999999999851e+00 2.642999999999999972e+01 2.000000000000000096e-04
6.499990000000000628e-03 2.297000000000000153e+00 2.769000000000000128e+01 2.000000000000000096e-04
6.999990000000000205e-03 2.383000000000000007e+00 2.889999999999999858e+01 2.000000000000000096e-04
7.999990000000000226e-03 2.548000000000000043e+00 3.121000000000000085e+01 3.000000000000000279e-04
8.999990000000001114e-03 2.701999999999999957e+00 3.336999999999999744e+01 3.000000000000000279e-04
9.999990000000000268e-03 2.849000000000000199e+00 3.542000000000000171e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.987999999999999989e+00 3.735999999999999943e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.120000000000000107e+00 3.921999999999999886e+01 3.000000000000000279e-04
1.299990000000000000e-02 3.248000000000000220e+00 4.099000000000000199e+01 3.000000000000000279e-04
1.399990000000000089e-02 3.370999999999999996e+00 4.270000000000000284e+01 3.000000000000000279e-04
1.499990000000000004e-02 3.488999999999999879e+00 4.434000000000000341e+01 3.000000000000000279e-04
1.599990000000000093e-02 3.603000000000000203e+00 4.592000000000000171e+01 3.000000000000000279e-04
1.699990000000000182e-02 3.713999999999999968e+00 4.745000000000000284e+01 3.000000000000000279e-04
1.799989999999999923e-02 3.822000000000000064e+00 4.892999999999999972e+01 4.000000000000000192e-04
1.999990000000000101e-02 4.028999999999999915e+00 5.175999999999999801e+01 4.000000000000000192e-04
2.249989999999999976e-02 4.272999999999999687e+00 5.509000000000000341e+01 4.000000000000000192e-04
2.499990000000000198e-02 4.503999999999999559e+00 5.820000000000000284e+01 4.000000000000000192e-04
2.749990000000000073e-02 4.724000000000000199e+00 6.114999999999999858e+01 4.000000000000000192e-04
2.999989999999999948e-02 4.934000000000000163e+00 6.392999999999999972e+01 4.000000000000000192e-04
3.249989999999999823e-02 5.134999999999999787e+00 6.659000000000000341e+01 5.000000000000000104e-04
3.499990000000000046e-02 5.328999999999999737e+00 6.912000000000000455e+01 5.000000000000000104e-04
3.749989999999999574e-02 5.516000000000000014e+00 7.154000000000000625e+01 5.000000000000000104e-04
3.999989999999999796e-02 5.697000000000000064e+00 7.387000000000000455e+01 5.000000000000000104e-04
4.499989999999999546e-02 6.043000000000000149e+00 7.826999999999999602e+01 5.000000000000000104e-04
4.999989999999999990e-02 6.370000000000000107e+00 8.235999999999999943e+01 6.000000000000000559e-04
5.499989999999999740e-02 6.681000000000000050e+00 8.620000000000000284e+01 6.000000000000000559e-04
5.999989999999999490e-02 6.977999999999999758e+00 8.981999999999999318e+01 6.000000000000000559e-04
6.499989999999999934e-02 7.262999999999999901e+00 9.323999999999999488e+01 6.000000000000000559e-04
6.999990000000000379e-02 7.536999999999999922e+00 9.648999999999999488e+01 6.999999999999999929e-04
7.999989999999999879e-02 8.057000000000000384e+00 1.025000000000000000e+02 6.999999999999999929e-04
8.999989999999999379e-02 8.545999999999999375e+00 1.080999999999999943e+02 8.000000000000000383e-04
9.999990000000000268e-02 9.007999999999999119e+00 1.132000000000000028e+02 8.000000000000000383e-04
1.100000000000000006e-01 9.448000000000000398e+00 1.180000000000000000e+02 8.000000000000000383e-04
1.199999999999999956e-01 9.868000000000000327e+00 1.224000000000000057e+02 9.000000000000000838e-04
1.300000000000000044e-01 1.026999999999999957e+01 1.265999999999999943e+02 9.000000000000000838e-04
1.399989999999999846e-01 1.066000000000000014e+01 1.305000000000000000e+02 1.000000000000000021e-03
1.499989999999999934e-01 1.102999999999999936e+01 1.341999999999999886e+02 1.000000000000000021e-03
1.599990000000000023e-01 1.139000000000000057e+01 1.378000000000000114e+02 1.000000000000000021e-03
1.699990000000000112e-01 1.175000000000000000e+01 1.411999999999999886e+02 1.100000000000000066e-03
1.799989999999999923e-01 1.208999999999999986e+01 1.444000000000000057e+02 1.100000000000000066e-03
1.999990000000000101e-01 1.274000000000000021e+01 1.504000000000000057e+02 1.200000000000000112e-03
2.249990000000000046e-01 1.350999999999999979e+01 1.571999999999999886e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.424000000000000021e+01 1.635000000000000000e+02 1.300000000000000157e-03
2.749990000000000490e-01 1.493999999999999950e+01 1.691999999999999886e+02 1.399999999999999986e-03
2.999990000000000157e-01 1.559999999999999964e+01 1.745000000000000000e+02 1.500000000000000031e-03
3.249990000000000379e-01 1.623999999999999844e+01 1.794000000000000057e+02 1.500000000000000031e-03
3.499990000000000046e-01 1.685000000000000142e+01 1.839000000000000057e+02 1.600000000000000077e-03
3.749990000000000268e-01 1.744000000000000128e+01 1.881999999999999886e+02 1.700000000000000122e-03
3.999990000000000490e-01 1.801999999999999957e+01 1.921999999999999886e+02 1.800000000000000168e-03
4.499990000000000379e-01 1.910999999999999943e+01 1.995999999999999943e+02 1.899999999999999996e-03
4.999990000000000268e-01 2.014000000000000057e+01 2.061999999999999886e+02 2.000000000000000042e-03
5.499990000000000157e-01 2.112999999999999901e+01 2.120999999999999943e+02 2.100000000000000304e-03
5.999990000000000601e-01 2.207000000000000028e+01 2.175999999999999943e+02 2.299999999999999961e-03
6.499989999999999934e-01 2.296999999999999886e+01 2.225999999999999943e+02 2.400000000000000223e-03
6.999990000000000379e-01 2.382999999999999829e+01 2.270999999999999943e+02 2.500000000000000052e-03
7.999990000000000157e-01 2.548000000000000043e+01 2.353000000000000114e+02 2.700000000000000143e-03
8.999989999999999934e-01 2.701999999999999957e+01 2.424000000000000057e+02 2.900000000000000234e-03
9.999990000000000823e-01 2.848999999999999844e+01 2.485999999999999943e+02 3.200000000000000153e-03
1.100000000000000089e+00 2.987999999999999901e+01 2.540999999999999943e+02 3.400000000000000244e-03
1.199999999999999956e+00 3.121000000000000085e+01 2.590000000000000000e+02 3.600000000000000335e-03
1.300000000000000044e+00 3.247999999999999687e+01 2.633999999999999773e+02 3.799999999999999992e-03
1.399999999999999911e+00 3.371000000000000085e+01 2.673999999999999773e+02 4.000000000000000083e-03
1.500000000000000000e+00 3.489000000000000057e+01 2.710000000000000000e+02 4.200000000000000608e-03
1.600000000000000089e+00 3.603000000000000114e+01 2.743000000000000114e+02 4.400000000000000265e-03
1.699999999999999956e+00 3.714000000000000057e+01 2.773000000000000114e+02 4.599999999999999922e-03
1.800000000000000044e+00 3.821999999999999886e+01 2.801000000000000227e+02 4.800000000000000447e-03
2.000000000000000000e+00 4.028999999999999915e+01 2.848999999999999773e+02 5.200000000000000629e-03
2.250000000000000000e+00 4.272999999999999687e+01 2.900000000000000000e+02 5.700000000000000205e-03
2.500000000000000000e+00 4.503999999999999915e+01 2.941000000000000227e+02 6.100000000000000387e-03
2.750000000000000000e+00 4.724000000000000199e+01 2.976000000000000227e+02 6.599999999999999964e-03
3.000000000000000000e+00 4.934000000000000341e+01 3.003999999999999773e+02 7.100000000000000408e-03
3.250000000000000000e+00 5.135000000000000142e+01 3.028000000000000114e+02 7.500000000000000590e-03
3.500000000000000000e+00 5.328999999999999915e+01 3.048000000000000114e+02 8.000000000000000167e-03
3.750000000000000000e+00 5.515999999999999659e+01 3.063999999999999773e+02 8.400000000000001216e-03
4.000000000000000000e+00 5.696999999999999886e+01 3.078000000000000114e+02 8.899999999999999925e-03
4.500000000000000000e+00 6.042999999999999972e+01 3.096999999999999886e+02 9.799999999999999684e-03
5.000000000000000000e+00 6.370000000000000284e+01 3.110000000000000000e+02 1.070000000000000118e-02
5.500000000000000000e+00 6.681000000000000227e+01 3.116000000000000227e+02 1.160000000000000094e-02
6.000000000000000000e+00 6.978000000000000114e+01 3.118000000000000114e+02 1.250000000000000069e-02
6.500000000000000000e+00 7.262999999999999545e+01 3.116000000000000227e+02 1.340000000000000045e-02
7.000000000000000000e+00 7.537000000000000455e+01 3.111999999999999886e+02 1.420000000000000082e-02
8.000000000000000000e+00 8.056999999999999318e+01 3.096000000000000227e+02 1.600000000000000033e-02
9.000000000000000000e+00 8.545999999999999375e+01 3.073999999999999773e+02 1.779999999999999985e-02
1.000000000000000000e+01 9.007999999999999829e+01 3.048000000000000114e+02 1.959999999999999937e-02
1.100000000000000000e+01 9.448000000000000398e+01 3.018999999999999773e+02 2.140000000000000235e-02
1.200000000000000000e+01 9.868000000000000682e+01 2.988999999999999773e+02 2.320000000000000187e-02
1.300000000000000000e+01 1.027000000000000028e+02 2.956999999999999886e+02 2.500000000000000139e-02
1.400000000000000000e+01 1.065999999999999943e+02 2.925000000000000000e+02 2.680000000000000090e-02
1.500000000000000000e+01 1.102999999999999972e+02 2.893000000000000114e+02 2.860000000000000042e-02
1.600000000000000000e+01 1.139000000000000057e+02 2.861000000000000227e+02 3.050000000000000280e-02
1.700000000000000000e+01 1.175000000000000000e+02 2.828000000000000114e+02 3.230000000000000232e-02
1.800000000000000000e+01 1.209000000000000057e+02 2.796000000000000227e+02 3.420000000000000123e-02
2.000000000000000000e+01 1.274000000000000057e+02 2.733999999999999773e+02 3.790000000000000313e-02
2.250000000000000000e+01 1.350999999999999943e+02 2.658000000000000114e+02 4.259999999999999898e-02
2.500000000000000000e+01 1.424000000000000057e+02 2.586999999999999886e+02 4.730000000000000177e-02
2.750000000000000000e+01 1.494000000000000057e+02 2.519000000000000057e+02 5.210000000000000048e-02
3.000000000000000000e+01 1.560000000000000000e+02 2.454000000000000057e+02 5.680000000000000326e-02
3.250000000000000000e+01 1.624000000000000057e+02 2.393000000000000114e+02 6.170000000000000484e-02
3.500000000000000000e+01 1.685000000000000000e+02 2.335999999999999943e+02 6.650000000000000355e-02
3.750000000000000000e+01 1.744000000000000057e+02 2.280999999999999943e+02 7.140000000000000513e-02
4.000000000000000000e+01 1.916999999999999886e+02 2.229000000000000057e+02 7.620000000000000384e-02
4.500000000000000000e+01 2.200000000000000000e+02 2.133000000000000114e+02 8.560000000000000941e-02
5.000000000000000000e+01 2.370999999999999943e+02 2.045999999999999943e+02 9.470000000000000639e-02
5.500000000000000000e+01 2.475000000000000000e+02 1.968000000000000114e+02 1.038000000000000034e-01
6.000000000000000000e+01 2.543000000000000114e+02 1.895999999999999943e+02 1.130000000000000032e-01
6.500000000000000000e+01 2.591999999999999886e+02 1.830000000000000000e+02 1.223000000000000059e-01
7.000000000000000000e+01 2.630000000000000000e+02 1.769000000000000057e+02 1.317000000000000115e-01
8.000000000000000000e+01 2.703000000000000114e+02 1.660000000000000000e+02 1.508000000000000174e-01
9.000000000000000000e+01 2.783999999999999773e+02 1.566999999999999886e+02 1.702000000000000179e-01
1.000000000000000000e+02 2.880000000000000000e+02 1.485000000000000000e+02 1.897999999999999965e-01
1.100000000000000000e+02 2.991000000000000227e+02 1.411999999999999886e+02 2.094000000000000028e-01
1.200000000000000000e+02 3.113999999999999773e+02 1.346999999999999886e+02 2.289000000000000201e-01
1.300000000000000000e+02 3.246000000000000227e+02 1.289000000000000057e+02 2.482000000000000040e-01
1.400000000000000000e+02 3.386000000000000227e+02 1.237000000000000028e+02 2.673000000000000376e-01
1.500000000000000000e+02 3.531000000000000227e+02 1.189000000000000057e+02 2.861000000000000210e-01
1.600000000000000000e+02 3.678000000000000114e+02 1.145000000000000000e+02 3.046000000000000374e-01
1.700000000000000000e+02 3.828000000000000114e+02 1.105000000000000000e+02 3.228000000000000314e-01
1.800000000000000000e+02 3.978000000000000114e+02 1.067999999999999972e+02 3.407000000000000028e-01
2.000000000000000000e+02 4.276999999999999886e+02 1.002000000000000028e+02 3.754000000000000115e-01
2.250000000000000000e+02 4.643000000000000114e+02 9.320999999999999375e+01 4.168999999999999928e-01
2.500000000000000000e+02 4.996999999999999886e+02 8.723000000000000398e+01 4.566999999999999948e-01
2.750000000000000000e+02 5.337999999999999545e+02 8.206999999999999318e+01 4.948000000000000176e-01
3.000000000000000000e+02 5.663999999999999773e+02 7.756000000000000227e+01 5.312999999999999945e-01
3.250000000000000000e+02 5.977000000000000455e+02 7.357999999999999829e+01 5.665999999999999925e-01
3.500000000000000000e+02 6.277000000000000455e+02 7.004000000000000625e+01 6.006000000000000227e-01
3.750000000000000000e+02 6.566000000000000227e+02 6.687000000000000455e+01 6.334000000000000741e-01
4.000000000000000000e+02 6.843999999999999773e+02 6.401000000000000512e+01 6.653000000000000025e-01
4.500000000000000000e+02 7.373999999999999773e+02 5.904999999999999716e+01 7.264000000000000457e-01
5.000000000000000000e+02 7.872999999999999545e+02 5.488000000000000256e+01 7.842999999999999972e-01
5.500000000000000000e+02 8.347000000000000455e+02 5.132000000000000028e+01 8.395000000000000240e-01
6.000000000000000000e+02 8.802000000000000455e+02 4.825000000000000000e+01 8.921999999999999931e-01
6.500000000000000000e+02 9.240000000000000000e+02 4.556000000000000227e+01 9.428000000000000824e-01
7.000000000000000000e+02 9.665000000000000000e+02 4.318999999999999773e+01 9.915000000000000480e-01
8.000000000000000000e+02 1.048000000000000000e+03 3.918999999999999773e+01 1.080000000000000071e+00
9.000000000000000000e+02 1.127000000000000000e+03 3.592999999999999972e+01 1.169999999999999929e+00
1.000000000000000000e+03 1.202000000000000000e+03 3.321999999999999886e+01 1.250000000000000000e+00
1.100000000000000000e+03 1.276000000000000000e+03 3.092999999999999972e+01 1.330000000000000071e+00
1.200000000000000000e+03 1.347000000000000000e+03 2.896000000000000085e+01 1.399999999999999911e+00
1.300000000000000000e+03 1.415000000000000000e+03 2.726000000000000156e+01 1.469999999999999973e+00
1.400000000000000000e+03 1.482000000000000000e+03 2.576000000000000156e+01 1.540000000000000036e+00
1.500000000000000000e+03 1.547000000000000000e+03 2.442999999999999972e+01 1.600000000000000089e+00
1.600000000000000000e+03 1.609000000000000000e+03 2.323999999999999844e+01 1.659999999999999920e+00
1.700000000000000000e+03 1.669000000000000000e+03 2.217999999999999972e+01 1.719999999999999973e+00
1.800000000000000000e+03 1.727000000000000000e+03 2.121000000000000085e+01 1.780000000000000027e+00
2.000000000000000000e+03 1.837000000000000000e+03 1.953999999999999915e+01 1.889999999999999902e+00
2.250000000000000000e+03 1.961000000000000000e+03 1.780999999999999872e+01 2.020000000000000018e+00
2.500000000000000000e+03 2.071000000000000000e+03 1.637999999999999901e+01 2.140000000000000124e+00
2.750000000000000000e+03 2.169000000000000000e+03 1.518999999999999950e+01 2.259999999999999787e+00
3.000000000000000000e+03 2.255000000000000000e+03 1.416999999999999993e+01 2.370000000000000107e+00
3.250000000000000000e+03 2.329000000000000000e+03 1.328999999999999915e+01 2.479999999999999982e+00
