        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.958E-01  8.983E-01       1 A         3 A         2 A   
    1.2 eV    8.958E-01  9.383E-01       1 A         3 A         2 A   
    1.3 eV    9.324E-01  9.764E-01       1 A         3 A         2 A   
    1.4 eV    9.676E-01  1.013E+00       1 A         3 A         2 A   
    1.5 eV    1.002E+00  1.047E+00       1 A         3 A         2 A   
    1.6 eV    1.034E+00  1.081E+00       2 A         3 A         2 A   
    1.7 eV    1.066E+00  1.113E+00       2 A         3 A         2 A   
    1.8 eV    1.097E+00  1.143E+00       2 A         3 A         2 A   
      2 eV    1.157E+00  1.202E+00       2 A         3 A         2 A   
   2.25 eV    1.227E+00  1.269E+00       2 A         4 A         3 A   
2.49999 eV    1.293E+00  1.332E+00       2 A         4 A         3 A   
2.74999 eV    1.356E+00  1.391E+00       2 A         4 A         3 A   
2.99999 eV    1.416E+00  1.446E+00       2 A         4 A         3 A   
3.24999 eV    1.474E+00  1.498E+00       2 A         4 A         3 A   
3.49999 eV    1.530E+00  1.547E+00       2 A         5 A         3 A   
3.74999 eV    1.584E+00  1.594E+00       2 A         5 A         3 A   
3.99999 eV    1.636E+00  1.639E+00       3 A         5 A         4 A   
4.49999 eV    1.735E+00  1.722E+00       3 A         5 A         4 A   
4.99999 eV    1.829E+00  1.798E+00       3 A         6 A         4 A   
5.49999 eV    1.918E+00  1.869E+00       3 A         6 A         4 A   
5.99999 eV    2.003E+00  1.935E+00       3 A         6 A         4 A   
6.49999 eV    2.085E+00  1.997E+00       3 A         6 A         5 A   
6.99999 eV    2.164E+00  2.055E+00       3 A         7 A         5 A   
7.99999 eV    2.313E+00  2.161E+00       4 A         7 A         5 A   
8.99999 eV    2.453E+00  2.257E+00       4 A         8 A         6 A   
9.99999 eV    2.586E+00  2.344E+00       4 A         8 A         6 A   
10.9999 eV    2.712E+00  2.424E+00       4 A         9 A         6 A   
11.9999 eV    2.833E+00  2.498E+00       5 A         9 A         7 A   
