# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 8.958000000000000407e-01 8.982999999999999874e-01 1.000000000000000048e-04
1.199999999999999895e-03 8.958000000000000407e-01 9.383000000000000229e-01 1.000000000000000048e-04
1.300000000000000157e-03 9.324000000000000066e-01 9.764000000000000457e-01 1.000000000000000048e-04
1.399999999999999986e-03 9.676000000000000156e-01 1.012999999999999901e+00 1.000000000000000048e-04
1.500000000000000031e-03 1.002000000000000002e+00 1.046999999999999931e+00 1.000000000000000048e-04
1.600000000000000077e-03 1.034000000000000030e+00 1.080999999999999961e+00 2.000000000000000096e-04
1.699999999999999905e-03 1.066000000000000059e+00 1.112999999999999989e+00 2.000000000000000096e-04
1.800000000000000168e-03 1.096999999999999975e+00 1.143000000000000016e+00 2.000000000000000096e-04
2.000000000000000042e-03 1.157000000000000028e+00 1.201999999999999957e+00 2.000000000000000096e-04
2.250000000000000264e-03 1.227000000000000091e+00 1.268999999999999906e+00 2.000000000000000096e-04
2.499990000000000111e-03 1.292999999999999927e+00 1.332000000000000073e+00 2.000000000000000096e-04
2.749989999999999900e-03 1.356000000000000094e+00 1.391000000000000014e+00 2.000000000000000096e-04
2.999990000000000122e-03 1.415999999999999925e+00 1.445999999999999952e+00 2.000000000000000096e-04
3.249989999999999910e-03 1.473999999999999977e+00 1.497999999999999998e+00 2.000000000000000096e-04
3.499990000000000132e-03 1.530000000000000027e+00 1.546999999999999931e+00 2.000000000000000096e-04
3.749989999999999921e-03 1.584000000000000075e+00 1.594000000000000083e+00 2.000000000000000096e-04
3.999990000000000143e-03 1.635999999999999899e+00 1.639000000000000012e+00 3.000000000000000279e-04
4.499990000000000587e-03 1.735000000000000098e+00 1.721999999999999975e+00 3.000000000000000279e-04
4.999990000000000163e-03 1.828999999999999959e+00 1.798000000000000043e+00 3.000000000000000279e-04
5.499990000000000608e-03 1.917999999999999927e+00 1.868999999999999995e+00 3.000000000000000279e-04
5.999990000000000184e-03 2.003000000000000114e+00 1.935000000000000053e+00 3.000000000000000279e-04
6.499990000000000628e-03 2.084999999999999964e+00 1.997000000000000108e+00 3.000000000000000279e-04
6.999990000000000205e-03 2.164000000000000146e+00 2.055000000000000160e+00 3.000000000000000279e-04
7.999990000000000226e-03 2.313000000000000167e+00 2.161000000000000032e+00 4.000000000000000192e-04
8.999990000000001114e-03 2.452999999999999847e+00 2.257000000000000117e+00 4.000000000000000192e-04
9.999990000000000268e-03 2.585999999999999854e+00 2.343999999999999861e+00 4.000000000000000192e-04
1.099989999999999996e-02 2.712000000000000188e+00 2.423999999999999932e+00 4.000000000000000192e-04
1.199990000000000084e-02 2.833000000000000185e+00 2.498000000000000220e+00 5.000000000000000104e-04
1.299990000000000000e-02 2.948999999999999844e+00 2.565999999999999837e+00 5.000000000000000104e-04
1.399990000000000089e-02 3.060000000000000053e+00 2.629999999999999893e+00 5.000000000000000104e-04
1.499990000000000004e-02 3.166999999999999815e+00 2.689000000000000057e+00 5.000000000000000104e-04
1.599990000000000093e-02 3.270999999999999908e+00 2.745000000000000107e+00 6.000000000000000559e-04
1.699990000000000182e-02 3.371999999999999886e+00 2.797000000000000153e+00 6.000000000000000559e-04
1.799989999999999923e-02 3.470000000000000195e+00 2.846999999999999975e+00 6.000000000000000559e-04
1.999990000000000101e-02 3.657000000000000028e+00 2.939000000000000057e+00 6.999999999999999929e-04
2.249989999999999976e-02 3.879000000000000004e+00 3.040999999999999925e+00 6.999999999999999929e-04
2.499990000000000198e-02 4.089000000000000412e+00 3.132000000000000117e+00 8.000000000000000383e-04
2.749990000000000073e-02 4.288999999999999702e+00 3.213000000000000078e+00 8.000000000000000383e-04
2.999989999999999948e-02 4.479000000000000092e+00 3.286999999999999922e+00 9.000000000000000838e-04
3.249989999999999823e-02 4.661999999999999922e+00 3.354000000000000092e+00 9.000000000000000838e-04
