        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.218E+00  1.079E+01       1 A         1 A           A   
    1.2 eV    1.218E+00  1.144E+01       1 A         1 A           A   
    1.3 eV    1.268E+00  1.207E+01       1 A         1 A           A   
    1.4 eV    1.315E+00  1.268E+01       1 A         1 A           A   
    1.5 eV    1.362E+00  1.327E+01       1 A         1 A         1 A   
    1.6 eV    1.406E+00  1.385E+01       1 A         1 A         1 A   
    1.7 eV    1.450E+00  1.442E+01       2 A         1 A         1 A   
    1.8 eV    1.492E+00  1.497E+01       2 A         1 A         1 A   
      2 eV    1.572E+00  1.605E+01       2 A         1 A         1 A   
   2.25 eV    1.668E+00  1.734E+01       2 A         1 A         1 A   
2.49999 eV    1.758E+00  1.857E+01       2 A         1 A         1 A   
2.74999 eV    1.844E+00  1.975E+01       2 A         1 A         1 A   
2.99999 eV    1.926E+00  2.090E+01       2 A         1 A         1 A   
3.24999 eV    2.004E+00  2.200E+01       2 A         1 A         1 A   
3.49999 eV    2.080E+00  2.308E+01       2 A         1 A         1 A   
3.74999 eV    2.153E+00  2.412E+01       2 A         1 A         1 A   
3.99999 eV    2.224E+00  2.513E+01       2 A         1 A         1 A   
4.49999 eV    2.358E+00  2.709E+01       2 A         1 A         1 A   
4.99999 eV    2.486E+00  2.896E+01       2 A         1 A         1 A   
5.49999 eV    2.607E+00  3.075E+01       3 A         1 A         1 A   
5.99999 eV    2.723E+00  3.247E+01       3 A         1 A         1 A   
6.49999 eV    2.835E+00  3.414E+01       3 A         1 A         1 A   
6.99999 eV    2.942E+00  3.575E+01       3 A         1 A         1 A   
7.99999 eV    3.145E+00  3.883E+01       3 A         2 A         1 A   
8.99999 eV    3.335E+00  4.175E+01       3 A         2 A         1 A   
9.99999 eV    3.516E+00  4.453E+01       3 A         2 A         1 A   
10.9999 eV    3.687E+00  4.719E+01       3 A         2 A         1 A   
11.9999 eV    3.851E+00  4.974E+01       3 A         2 A         1 A   
