# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 1.217999999999999972e+00 1.078999999999999915e+01 1.000000000000000048e-04
1.199999999999999895e-03 1.217999999999999972e+00 1.143999999999999950e+01 1.000000000000000048e-04
1.300000000000000157e-03 1.268000000000000016e+00 1.207000000000000028e+01 1.000000000000000048e-04
1.399999999999999986e-03 1.314999999999999947e+00 1.267999999999999972e+01 1.000000000000000048e-04
1.500000000000000031e-03 1.362000000000000099e+00 1.326999999999999957e+01 1.000000000000000048e-04
1.600000000000000077e-03 1.405999999999999917e+00 1.384999999999999964e+01 1.000000000000000048e-04
1.699999999999999905e-03 1.449999999999999956e+00 1.441999999999999993e+01 2.000000000000000096e-04
1.800000000000000168e-03 1.491999999999999993e+00 1.497000000000000064e+01 2.000000000000000096e-04
2.000000000000000042e-03 1.572000000000000064e+00 1.605000000000000071e+01 2.000000000000000096e-04
2.250000000000000264e-03 1.667999999999999927e+00 1.733999999999999986e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.758000000000000007e+00 1.857000000000000028e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.844000000000000083e+00 1.975000000000000000e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.925999999999999934e+00 2.089999999999999858e+01 2.000000000000000096e-04
3.249989999999999910e-03 2.004000000000000004e+00 2.200000000000000000e+01 2.000000000000000096e-04
3.499990000000000132e-03 2.080000000000000071e+00 2.307999999999999829e+01 2.000000000000000096e-04
3.749989999999999921e-03 2.153000000000000025e+00 2.412000000000000099e+01 2.000000000000000096e-04
3.999990000000000143e-03 2.224000000000000199e+00 2.512999999999999901e+01 2.000000000000000096e-04
4.499990000000000587e-03 2.358000000000000096e+00 2.708999999999999986e+01 2.000000000000000096e-04
4.999990000000000163e-03 2.486000000000000210e+00 2.896000000000000085e+01 2.000000000000000096e-04
5.499990000000000608e-03 2.607000000000000206e+00 3.075000000000000000e+01 3.000000000000000279e-04
5.999990000000000184e-03 2.722999999999999865e+00 3.246999999999999886e+01 3.000000000000000279e-04
6.499990000000000628e-03 2.834999999999999964e+00 3.414000000000000057e+01 3.000000000000000279e-04
6.999990000000000205e-03 2.942000000000000171e+00 3.575000000000000000e+01 3.000000000000000279e-04
7.999990000000000226e-03 3.145000000000000018e+00 3.882999999999999829e+01 3.000000000000000279e-04
8.999990000000001114e-03 3.334999999999999964e+00 4.175000000000000000e+01 3.000000000000000279e-04
9.999990000000000268e-03 3.516000000000000014e+00 4.453000000000000114e+01 3.000000000000000279e-04
1.099989999999999996e-02 3.686999999999999833e+00 4.718999999999999773e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.850999999999999979e+00 4.974000000000000199e+01 3.000000000000000279e-04
1.299990000000000000e-02 4.009000000000000341e+00 5.220000000000000284e+01 4.000000000000000192e-04
1.399990000000000089e-02 4.160000000000000142e+00 5.457000000000000028e+01 4.000000000000000192e-04
