        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.016E-01  1.014E+01       1 A         1 A           A   
    1.2 eV    7.016E-01  1.073E+01       1 A         1 A         1 A   
    1.3 eV    7.302E-01  1.130E+01       1 A         1 A         1 A   
    1.4 eV    7.578E-01  1.185E+01       1 A         1 A         1 A   
    1.5 eV    7.844E-01  1.239E+01       1 A         1 A         1 A   
    1.6 eV    8.101E-01  1.291E+01       1 A         1 A         1 A   
    1.7 eV    8.350E-01  1.342E+01       1 A         1 A         1 A   
    1.8 eV    8.593E-01  1.392E+01       1 A         1 A         1 A   
      2 eV    9.057E-01  1.488E+01       1 A         1 A         1 A   
   2.25 eV    9.607E-01  1.604E+01       2 A         1 A         1 A   
2.49999 eV    1.013E+00  1.713E+01       2 A         1 A         1 A   
2.74999 eV    1.062E+00  1.819E+01       2 A         1 A         1 A   
2.99999 eV    1.109E+00  1.920E+01       2 A         1 A         1 A   
3.24999 eV    1.155E+00  2.018E+01       2 A         1 A         1 A   
3.49999 eV    1.198E+00  2.113E+01       2 A         1 A         1 A   
3.74999 eV    1.240E+00  2.205E+01       2 A         1 A         1 A   
3.99999 eV    1.281E+00  2.294E+01       2 A         1 A         1 A   
4.49999 eV    1.359E+00  2.465E+01       2 A         1 A         1 A   
4.99999 eV    1.432E+00  2.628E+01       2 A         1 A         1 A   
5.49999 eV    1.502E+00  2.784E+01       2 A         2 A         1 A   
5.99999 eV    1.569E+00  2.933E+01       2 A         2 A         1 A   
6.49999 eV    1.633E+00  3.077E+01       2 A         2 A         1 A   
6.99999 eV    1.694E+00  3.216E+01       2 A         2 A         1 A   
7.99999 eV    1.811E+00  3.480E+01       3 A         2 A         1 A   
8.99999 eV    1.921E+00  3.729E+01       3 A         2 A         1 A   
9.99999 eV    2.025E+00  3.966E+01       3 A         2 A         1 A   
10.9999 eV    2.124E+00  4.191E+01       3 A         2 A         2 A   
11.9999 eV    2.219E+00  4.406E+01       3 A         2 A         2 A   
