# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 7.016000000000000014e-01 1.014000000000000057e+01 1.000000000000000048e-04
1.199999999999999895e-03 7.016000000000000014e-01 1.073000000000000043e+01 1.000000000000000048e-04
1.300000000000000157e-03 7.301999999999999602e-01 1.130000000000000071e+01 1.000000000000000048e-04
1.399999999999999986e-03 7.578000000000000291e-01 1.184999999999999964e+01 1.000000000000000048e-04
1.500000000000000031e-03 7.843999999999999861e-01 1.239000000000000057e+01 1.000000000000000048e-04
1.600000000000000077e-03 8.101000000000000423e-01 1.291000000000000014e+01 1.000000000000000048e-04
1.699999999999999905e-03 8.349999999999999645e-01 1.341999999999999993e+01 1.000000000000000048e-04
1.800000000000000168e-03 8.592999999999999527e-01 1.391999999999999993e+01 1.000000000000000048e-04
2.000000000000000042e-03 9.056999999999999496e-01 1.488000000000000078e+01 1.000000000000000048e-04
2.250000000000000264e-03 9.606999999999999984e-01 1.603999999999999915e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.012999999999999901e+00 1.712999999999999901e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.062000000000000055e+00 1.819000000000000128e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.108999999999999986e+00 1.919999999999999929e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.155000000000000027e+00 2.017999999999999972e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.197999999999999954e+00 2.112999999999999901e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.239999999999999991e+00 2.205000000000000071e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.280999999999999917e+00 2.294000000000000128e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.358999999999999986e+00 2.464999999999999858e+01 2.000000000000000096e-04
4.999990000000000163e-03 1.431999999999999940e+00 2.628000000000000114e+01 2.000000000000000096e-04
5.499990000000000608e-03 1.502000000000000002e+00 2.783999999999999986e+01 2.000000000000000096e-04
5.999990000000000184e-03 1.568999999999999950e+00 2.932999999999999829e+01 2.000000000000000096e-04
6.499990000000000628e-03 1.633000000000000007e+00 3.076999999999999957e+01 2.000000000000000096e-04
6.999990000000000205e-03 1.693999999999999950e+00 3.215999999999999659e+01 2.000000000000000096e-04
7.999990000000000226e-03 1.810999999999999943e+00 3.479999999999999716e+01 3.000000000000000279e-04
8.999990000000001114e-03 1.921000000000000041e+00 3.728999999999999915e+01 3.000000000000000279e-04
9.999990000000000268e-03 2.024999999999999911e+00 3.965999999999999659e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.124000000000000110e+00 4.190999999999999659e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.218999999999999861e+00 4.406000000000000227e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.309000000000000163e+00 4.611999999999999744e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.395999999999999908e+00 4.810999999999999943e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.479999999999999982e+00 5.002000000000000313e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.561999999999999833e+00 5.188000000000000256e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.641000000000000014e+00 5.367000000000000171e+01 4.000000000000000192e-04
1.799989999999999923e-02 2.717000000000000082e+00 5.540999999999999659e+01 4.000000000000000192e-04
1.999990000000000101e-02 2.863999999999999879e+00 5.874000000000000199e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.037999999999999812e+00 6.267000000000000171e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.201999999999999957e+00 6.637000000000000455e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.358999999999999986e+00 6.987000000000000455e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.508000000000000007e+00 7.320999999999999375e+01 5.000000000000000104e-04
3.249989999999999823e-02 3.650999999999999801e+00 7.639000000000000057e+01 5.000000000000000104e-04
3.499990000000000046e-02 3.789000000000000146e+00 7.943000000000000682e+01 5.000000000000000104e-04
3.749989999999999574e-02 3.922000000000000153e+00 8.234999999999999432e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.051000000000000156e+00 8.517000000000000171e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.296000000000000263e+00 9.050000000000000000e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.528999999999999915e+00 9.548999999999999488e+01 6.000000000000000559e-04
5.499989999999999740e-02 4.750000000000000000e+00 1.002000000000000028e+02 6.000000000000000559e-04
5.999989999999999490e-02 4.961000000000000298e+00 1.045999999999999943e+02 6.000000000000000559e-04
6.499989999999999934e-02 5.163999999999999702e+00 1.089000000000000057e+02 6.000000000000000559e-04
6.999990000000000379e-02 5.357999999999999652e+00 1.129000000000000057e+02 6.999999999999999929e-04
7.999989999999999879e-02 5.727999999999999758e+00 1.204000000000000057e+02 6.999999999999999929e-04
8.999989999999999379e-02 6.075999999999999623e+00 1.274000000000000057e+02 6.999999999999999929e-04
9.999990000000000268e-02 6.405000000000000249e+00 1.338000000000000114e+02 8.000000000000000383e-04
