       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.182E+00  8.813E+00       1 A         1 A         1 A   
    1.2 eV    1.182E+00  9.310E+00       1 A         1 A         1 A   
    1.3 eV    1.230E+00  9.790E+00       1 A         1 A         1 A   
    1.4 eV    1.277E+00  1.026E+01       1 A         1 A         1 A   
    1.5 eV    1.321E+00  1.071E+01       1 A         1 A         1 A   
    1.6 eV    1.365E+00  1.115E+01       1 A         1 A         1 A   
    1.7 eV    1.407E+00  1.157E+01       1 A         1 A         1 A   
    1.8 eV    1.448E+00  1.199E+01       1 A         1 A         1 A   
      2 eV    1.526E+00  1.279E+01       1 A         1 A         1 A   
   2.25 eV    1.618E+00  1.375E+01       1 A         1 A         1 A   
2.49999 eV    1.706E+00  1.466E+01       2 A         1 A         1 A   
2.74999 eV    1.789E+00  1.553E+01       2 A         1 A         1 A   
2.99999 eV    1.869E+00  1.636E+01       2 A         1 A         1 A   
3.24999 eV    1.945E+00  1.717E+01       2 A         1 A         1 A   
3.49999 eV    2.018E+00  1.794E+01       2 A         1 A         1 A   
3.74999 eV    2.089E+00  1.869E+01       2 A         1 A         1 A   
3.99999 eV    2.158E+00  1.942E+01       2 A         1 A         1 A   
4.49999 eV    2.289E+00  2.082E+01       2 A         1 A         1 A   
4.99999 eV    2.413E+00  2.214E+01       2 A         2 A         1 A   
5.49999 eV    2.530E+00  2.339E+01       2 A         2 A         1 A   
5.99999 eV    2.643E+00  2.460E+01       2 A         2 A         1 A   
6.49999 eV    2.751E+00  2.575E+01       2 A         2 A         1 A   
6.99999 eV    2.855E+00  2.686E+01       2 A         2 A         1 A   
7.99999 eV    3.052E+00  2.897E+01       2 A         2 A         1 A   
8.99999 eV    3.237E+00  3.095E+01       3 A         2 A         2 A   
9.99999 eV    3.412E+00  3.282E+01       3 A         2 A         2 A   
10.9999 eV    3.578E+00  3.459E+01       3 A         2 A         2 A   
11.9999 eV    3.737E+00  3.627E+01       3 A         2 A         2 A   
