# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 1.181999999999999940e+00 8.813000000000000611e+00 1.000000000000000048e-04
1.199999999999999895e-03 1.181999999999999940e+00 9.310000000000000497e+00 1.000000000000000048e-04
1.300000000000000157e-03 1.229999999999999982e+00 9.789999999999999147e+00 1.000000000000000048e-04
1.399999999999999986e-03 1.276999999999999913e+00 1.025999999999999979e+01 1.000000000000000048e-04
1.500000000000000031e-03 1.320999999999999952e+00 1.071000000000000085e+01 1.000000000000000048e-04
1.600000000000000077e-03 1.364999999999999991e+00 1.115000000000000036e+01 1.000000000000000048e-04
1.699999999999999905e-03 1.407000000000000028e+00 1.157000000000000028e+01 1.000000000000000048e-04
1.800000000000000168e-03 1.447999999999999954e+00 1.199000000000000021e+01 1.000000000000000048e-04
2.000000000000000042e-03 1.526000000000000023e+00 1.278999999999999915e+01 1.000000000000000048e-04
2.250000000000000264e-03 1.618000000000000105e+00 1.375000000000000000e+01 1.000000000000000048e-04
2.499990000000000111e-03 1.705999999999999961e+00 1.466000000000000014e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.788999999999999924e+00 1.552999999999999936e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.868999999999999995e+00 1.635999999999999943e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.945000000000000062e+00 1.717000000000000171e+01 2.000000000000000096e-04
3.499990000000000132e-03 2.017999999999999794e+00 1.794000000000000128e+01 2.000000000000000096e-04
3.749989999999999921e-03 2.088999999999999968e+00 1.869000000000000128e+01 2.000000000000000096e-04
3.999990000000000143e-03 2.157999999999999918e+00 1.942000000000000171e+01 2.000000000000000096e-04
4.499990000000000587e-03 2.289000000000000146e+00 2.082000000000000028e+01 2.000000000000000096e-04
4.999990000000000163e-03 2.412999999999999812e+00 2.214000000000000057e+01 2.000000000000000096e-04
5.499990000000000608e-03 2.529999999999999805e+00 2.339000000000000057e+01 2.000000000000000096e-04
5.999990000000000184e-03 2.642999999999999794e+00 2.460000000000000142e+01 2.000000000000000096e-04
6.499990000000000628e-03 2.750999999999999890e+00 2.575000000000000000e+01 2.000000000000000096e-04
6.999990000000000205e-03 2.854999999999999982e+00 2.685999999999999943e+01 2.000000000000000096e-04
7.999990000000000226e-03 3.052000000000000046e+00 2.896999999999999886e+01 2.000000000000000096e-04
8.999990000000001114e-03 3.237000000000000099e+00 3.094999999999999929e+01 3.000000000000000279e-04
9.999990000000000268e-03 3.411999999999999922e+00 3.282000000000000028e+01 3.000000000000000279e-04
1.099989999999999996e-02 3.577999999999999847e+00 3.459000000000000341e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.737000000000000099e+00 3.627000000000000313e+01 3.000000000000000279e-04
1.299990000000000000e-02 3.890000000000000124e+00 3.789000000000000057e+01 3.000000000000000279e-04
1.399990000000000089e-02 4.036999999999999922e+00 3.942999999999999972e+01 3.000000000000000279e-04
1.499990000000000004e-02 4.179000000000000270e+00 4.092000000000000171e+01 3.000000000000000279e-04
1.599990000000000093e-02 4.315999999999999837e+00 4.235000000000000142e+01 3.000000000000000279e-04
1.699990000000000182e-02 4.448000000000000398e+00 4.372999999999999687e+01 3.000000000000000279e-04
1.799989999999999923e-02 4.576999999999999957e+00 4.507000000000000028e+01 3.000000000000000279e-04
1.999990000000000101e-02 4.825000000000000178e+00 4.763000000000000256e+01 4.000000000000000192e-04
2.249989999999999976e-02 5.118000000000000327e+00 5.061999999999999744e+01 4.000000000000000192e-04
2.499990000000000198e-02 5.394999999999999574e+00 5.342000000000000171e+01 4.000000000000000192e-04
2.749990000000000073e-02 5.658000000000000362e+00 5.604999999999999716e+01 4.000000000000000192e-04
2.999989999999999948e-02 5.908999999999999808e+00 5.854999999999999716e+01 4.000000000000000192e-04
3.249989999999999823e-02 6.150999999999999801e+00 6.092000000000000171e+01 5.000000000000000104e-04
3.499990000000000046e-02 6.383000000000000007e+00 6.317999999999999972e+01 5.000000000000000104e-04
3.749989999999999574e-02 6.607000000000000206e+00 6.534000000000000341e+01 5.000000000000000104e-04
3.999989999999999796e-02 6.823999999999999844e+00 6.740999999999999659e+01 5.000000000000000104e-04
4.499989999999999546e-02 7.238000000000000433e+00 7.131000000000000227e+01 5.000000000000000104e-04
4.999989999999999990e-02 7.628999999999999559e+00 7.493999999999999773e+01 6.000000000000000559e-04
5.499989999999999740e-02 8.000999999999999446e+00 7.832999999999999829e+01 6.000000000000000559e-04
5.999989999999999490e-02 8.356999999999999318e+00 8.151999999999999602e+01 6.000000000000000559e-04
6.499989999999999934e-02 8.698999999999999844e+00 8.453000000000000114e+01 6.000000000000000559e-04
6.999990000000000379e-02 9.026999999999999247e+00 8.737999999999999545e+01 6.999999999999999929e-04
7.999989999999999879e-02 9.650000000000000355e+00 9.267000000000000171e+01 6.999999999999999929e-04
8.999989999999999379e-02 1.024000000000000021e+01 9.751000000000000512e+01 8.000000000000000383e-04
9.999990000000000268e-02 1.078999999999999915e+01 1.020000000000000000e+02 8.000000000000000383e-04
1.100000000000000006e-01 1.132000000000000028e+01 1.060999999999999943e+02 8.000000000000000383e-04
1.199999999999999956e-01 1.182000000000000028e+01 1.099000000000000057e+02 9.000000000000000838e-04
1.300000000000000044e-01 1.230000000000000071e+01 1.135000000000000000e+02 9.000000000000000838e-04
1.399989999999999846e-01 1.276999999999999957e+01 1.169000000000000057e+02 1.000000000000000021e-03
1.499989999999999934e-01 1.321000000000000085e+01 1.200999999999999943e+02 1.000000000000000021e-03
1.599990000000000023e-01 1.365000000000000036e+01 1.232000000000000028e+02 1.000000000000000021e-03
