        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.292E+00  1.048E+01       1 A         1 A           A   
    1.2 eV    1.292E+00  1.109E+01       1 A         1 A           A   
    1.3 eV    1.345E+00  1.169E+01       1 A         1 A           A   
    1.4 eV    1.396E+00  1.227E+01       1 A         1 A         1 A   
    1.5 eV    1.445E+00  1.283E+01       1 A         1 A         1 A   
    1.6 eV    1.492E+00  1.338E+01       1 A         1 A         1 A   
    1.7 eV    1.538E+00  1.391E+01       1 A         1 A         1 A   
    1.8 eV    1.583E+00  1.443E+01       1 A         1 A         1 A   
      2 eV    1.669E+00  1.545E+01       2 A         1 A         1 A   
   2.25 eV    1.770E+00  1.666E+01       2 A         1 A         1 A   
2.49999 eV    1.866E+00  1.781E+01       2 A         1 A         1 A   
2.74999 eV    1.957E+00  1.892E+01       2 A         1 A         1 A   
2.99999 eV    2.044E+00  1.999E+01       2 A         1 A         1 A   
3.24999 eV    2.127E+00  2.102E+01       2 A         1 A         1 A   
3.49999 eV    2.207E+00  2.202E+01       2 A         1 A         1 A   
3.74999 eV    2.285E+00  2.299E+01       2 A         1 A         1 A   
3.99999 eV    2.360E+00  2.393E+01       2 A         1 A         1 A   
4.49999 eV    2.503E+00  2.574E+01       2 A         1 A         1 A   
4.99999 eV    2.638E+00  2.747E+01       2 A         1 A         1 A   
5.49999 eV    2.767E+00  2.912E+01       2 A         1 A         1 A   
5.99999 eV    2.890E+00  3.071E+01       2 A         1 A         1 A   
6.49999 eV    3.008E+00  3.224E+01       2 A         1 A         1 A   
6.99999 eV    3.122E+00  3.372E+01       3 A         2 A         1 A   
7.99999 eV    3.337E+00  3.653E+01       3 A         2 A         1 A   
8.99999 eV    3.540E+00  3.919E+01       3 A         2 A         1 A   
9.99999 eV    3.731E+00  4.172E+01       3 A         2 A         1 A   
10.9999 eV    3.913E+00  4.413E+01       3 A         2 A         1 A   
11.9999 eV    4.087E+00  4.644E+01       3 A         2 A         1 A   
