# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 1.292000000000000037e+00 1.048000000000000043e+01 1.000000000000000048e-04
1.199999999999999895e-03 1.292000000000000037e+00 1.108999999999999986e+01 1.000000000000000048e-04
1.300000000000000157e-03 1.344999999999999973e+00 1.168999999999999950e+01 1.000000000000000048e-04
1.399999999999999986e-03 1.395999999999999908e+00 1.226999999999999957e+01 1.000000000000000048e-04
1.500000000000000031e-03 1.445000000000000062e+00 1.283000000000000007e+01 1.000000000000000048e-04
1.600000000000000077e-03 1.491999999999999993e+00 1.338000000000000078e+01 1.000000000000000048e-04
1.699999999999999905e-03 1.538000000000000034e+00 1.391000000000000014e+01 1.000000000000000048e-04
1.800000000000000168e-03 1.582999999999999963e+00 1.442999999999999972e+01 1.000000000000000048e-04
2.000000000000000042e-03 1.669000000000000039e+00 1.544999999999999929e+01 2.000000000000000096e-04
2.250000000000000264e-03 1.770000000000000018e+00 1.666000000000000014e+01 2.000000000000000096e-04
2.499990000000000111e-03 1.866000000000000103e+00 1.780999999999999872e+01 2.000000000000000096e-04
2.749989999999999900e-03 1.957000000000000073e+00 1.892000000000000171e+01 2.000000000000000096e-04
2.999990000000000122e-03 2.044000000000000039e+00 1.998999999999999844e+01 2.000000000000000096e-04
3.249989999999999910e-03 2.126999999999999780e+00 2.101999999999999957e+01 2.000000000000000096e-04
3.499990000000000132e-03 2.206999999999999851e+00 2.201999999999999957e+01 2.000000000000000096e-04
3.749989999999999921e-03 2.285000000000000142e+00 2.298999999999999844e+01 2.000000000000000096e-04
3.999990000000000143e-03 2.359999999999999876e+00 2.392999999999999972e+01 2.000000000000000096e-04
4.499990000000000587e-03 2.503000000000000114e+00 2.573999999999999844e+01 2.000000000000000096e-04
4.999990000000000163e-03 2.637999999999999901e+00 2.746999999999999886e+01 2.000000000000000096e-04
5.499990000000000608e-03 2.766999999999999904e+00 2.912000000000000099e+01 2.000000000000000096e-04
5.999990000000000184e-03 2.890000000000000124e+00 3.071000000000000085e+01 2.000000000000000096e-04
6.499990000000000628e-03 3.008000000000000007e+00 3.224000000000000199e+01 2.000000000000000096e-04
6.999990000000000205e-03 3.121999999999999886e+00 3.371999999999999886e+01 3.000000000000000279e-04
7.999990000000000226e-03 3.337000000000000188e+00 3.653000000000000114e+01 3.000000000000000279e-04
8.999990000000001114e-03 3.540000000000000036e+00 3.918999999999999773e+01 3.000000000000000279e-04
9.999990000000000268e-03 3.730999999999999872e+00 4.171999999999999886e+01 3.000000000000000279e-04
1.099989999999999996e-02 3.912999999999999812e+00 4.413000000000000256e+01 3.000000000000000279e-04
1.199990000000000084e-02 4.086999999999999744e+00 4.643999999999999773e+01 3.000000000000000279e-04
1.299990000000000000e-02 4.253999999999999559e+00 4.864999999999999858e+01 3.000000000000000279e-04
1.399990000000000089e-02 4.415000000000000036e+00 5.078999999999999915e+01 3.000000000000000279e-04
1.499990000000000004e-02 4.570000000000000284e+00 5.285000000000000142e+01 3.000000000000000279e-04
1.599990000000000093e-02 4.719000000000000306e+00 5.484000000000000341e+01 3.000000000000000279e-04
1.699990000000000182e-02 4.865000000000000213e+00 5.678000000000000114e+01 4.000000000000000192e-04
1.799989999999999923e-02 5.006000000000000227e+00 5.864999999999999858e+01 4.000000000000000192e-04
1.999990000000000101e-02 5.277000000000000135e+00 6.225999999999999801e+01 4.000000000000000192e-04
2.249989999999999976e-02 5.597000000000000419e+00 6.651000000000000512e+01 4.000000000000000192e-04
2.499990000000000198e-02 5.899000000000000021e+00 7.051999999999999602e+01 4.000000000000000192e-04
2.749990000000000073e-02 6.187000000000000277e+00 7.432999999999999829e+01 4.000000000000000192e-04
2.999989999999999948e-02 6.461999999999999744e+00 7.795999999999999375e+01 5.000000000000000104e-04
3.249989999999999823e-02 6.725999999999999979e+00 8.143000000000000682e+01 5.000000000000000104e-04
3.499990000000000046e-02 6.980000000000000426e+00 8.475000000000000000e+01 5.000000000000000104e-04
3.749989999999999574e-02 7.224999999999999645e+00 8.795000000000000284e+01 5.000000000000000104e-04
3.999989999999999796e-02 7.461999999999999744e+00 9.103000000000000114e+01 5.000000000000000104e-04
4.499989999999999546e-02 7.915000000000000036e+00 9.689000000000000057e+01 5.000000000000000104e-04
4.999989999999999990e-02 8.342999999999999972e+00 1.024000000000000057e+02 6.000000000000000559e-04
5.499989999999999740e-02 8.750000000000000000e+00 1.075999999999999943e+02 6.000000000000000559e-04
5.999989999999999490e-02 9.138999999999999346e+00 1.125000000000000000e+02 6.000000000000000559e-04
6.499989999999999934e-02 9.512000000000000455e+00 1.172000000000000028e+02 6.000000000000000559e-04
6.999990000000000379e-02 9.871999999999999886e+00 1.215999999999999943e+02 6.999999999999999929e-04
7.999989999999999879e-02 1.055000000000000071e+01 1.300000000000000000e+02 6.999999999999999929e-04
8.999989999999999379e-02 1.118999999999999950e+01 1.376999999999999886e+02 6.999999999999999929e-04
9.999990000000000268e-02 1.180000000000000071e+01 1.450000000000000000e+02 8.000000000000000383e-04
1.100000000000000006e-01 1.236999999999999922e+01 1.516999999999999886e+02 8.000000000000000383e-04
1.199999999999999956e-01 1.291999999999999993e+01 1.580999999999999943e+02 8.000000000000000383e-04
1.300000000000000044e-01 1.344999999999999929e+01 1.641999999999999886e+02 9.000000000000000838e-04
1.399989999999999846e-01 1.396000000000000085e+01 1.699000000000000057e+02 9.000000000000000838e-04
1.499989999999999934e-01 1.444999999999999929e+01 1.754000000000000057e+02 9.000000000000000838e-04
1.599990000000000023e-01 1.491999999999999993e+01 1.805999999999999943e+02 1.000000000000000021e-03
1.699990000000000112e-01 1.538000000000000078e+01 1.855999999999999943e+02 1.000000000000000021e-03
1.799989999999999923e-01 1.583000000000000007e+01 1.903000000000000114e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.669000000000000128e+01 1.994000000000000057e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.769999999999999929e+01 2.098000000000000114e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.866000000000000014e+01 2.194000000000000057e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.957000000000000028e+01 2.283000000000000114e+02 1.300000000000000157e-03
2.999990000000000157e-01 2.044000000000000128e+01 2.365999999999999943e+02 1.300000000000000157e-03
